,number,日付,ユーザー名,コメント
23,3-3,2時間前,shi*****,海外からの渡航規制をさっさと見直して欲しい
24,3-4,2時間前,cch*****,"中国由来のコロナには強かった日本人も欧州変異したコロナが流入して、発症が拡大した。
その二の舞にならないように外国からの渡航者の受け入れを禁止することである。"
25,3-5,2時間前,lov*****,手遅れになる前入国制限をかけてほしい、何で対応が遅い政府だから
26,3-6,2時間前,nom*****,どうせ調査してないんでしょ。今から何処かに調査丸投げするなあ。
27,3-7,2時間前,hat*****,注視っていつも通りの目の前通り過ぎても見守るだけでしょう
28,3-8,2時間前,mdf*****,もはや加藤さんの言うことは信用できません。
29,3-9,2時間前,kes*****,国をまたぐ移動を制限すべき。早急に対策ねがいます！
30,3-10,2時間前,uwc*****,帰国法人、外国人を受け入れ入れてる時点で、時間の問題でしょう。
31,4-1,2時間前,k*****,嘘つき野郎が何いってんだ
32,4-2,2時間前,yoi*****,"この人もあの人も
本当に学習できない人ばかりだね。"
33,4-3,2時間前,kaz*****,現時点では見つかってないからといって、毎日海外からたくさん人が入ってきてるんだから時間の問題でしょう。一秒でも迅速に海外からの人の流れを止めるべきなのに何のんきなこと言ってるんだか。これじゃ第3派が収まらないうちに、さらに拡大した第4派になりそうだよ。
34,4-4,2時間前,boo*****,あーこわいこわい
35,4-5,2時間前,der*****,入国制限なり、対策すれば入ることは無い、入ってくることがあるようなら、それは政府の対応が間違いだったという証拠だろう。その時は政府への不満から支持率はダダ下がりだわ。
36,4-6,2時間前,mjb*****,今のうちにシャットダウンして下さい
37,4-7,2時間前,n0_*****,対応が全て後手後手！！！！なんでこんな対応が遅いんだ？？
38,4-8,2時間前,kgd*****,この顔はわかっていても言わない顔だな。
39,4-9,2時間前,kok*****,確認されてからでは遅いので、入って来ないよう、いますぐ対策して下さい！！
40,4-10,2時間前,yon*****,"その変異種が入ってこない為に具体的にどうするんだ。
そこまで説明しなけりゃ国民は納得しないぞ。"
41,5-1,2時間前,,"日本で発見される頃には、相当国内で蔓延している事も考えられますね。

インフルエンザは人類と相当長き歴史を歩んでるので、ウィルスとの共存もできていますが、コロナウィルスとの付き合いは、まだ一年足らずです。
わからない事のが多いウィルスです。

未知なるウィルスというのを忘れずに過ごしましょう"
42,5-2,2時間前,yor*****,"今は未確認であっても、このまま入国制限を緩和し続けると必ず入ってきます。
なんで、会見でこの先入ってくる可能性があるので、入国制限を強化しますって、これからのことを話しできないのか？
こんなんじゃ、もう会見する意味ないじゃん。
しっかりしてくれよ。"
43,5-3,2時間前,Interior,"入国を厳しくしつつも許している以上はいつ変異種が広まるかわからないよ
入国を厳しくしても限界があるから、いっその事入国禁止にした方がいい"
44,5-4,2時間前,hum*****,国内未確認って、見つかってからでは、時すでに遅しだと思うが！　海外からの今止めれるものは止めないと、議論してる間にさらに日本国内は、ヒドイ状況になりますよ!!
45,5-5,2時間前,jyq*****,また嬉しい煽りネタができましたね、マスゴミさん
46,5-6,2時間前,tuk*****,"確認されていないだけで居るかもしれない。
それでも入国規制緩和を止めない模様"
47,5-7,2時間前,123456789,"だから何？
安心だとでも？
早く出入国厳格にしてください。"
48,5-8,2時間前,roa*****,閉じるべき。
49,5-9,2時間前,gun*****,時間の問題。
50,5-10,2時間前,reb*****,"対策しません宣言じゃん。
で？見つかって慌てて対策始めるんだろ？
馬鹿すぎる。"
51,6-1,2時間前,lod*****,"信用できません。
オリンピック開催ありきで、変異種を確認していても、ごまかしているかもしれません。
菅も加藤も西村も信頼できません。"
52,6-2,2時間前,shi*****,"わからないだけ?
毎日　毎日　外国から入国しているから　もう　日本に入っている。
最近の感染数の増加が物語っている。"
53,6-3,2時間前,toc*****,GOTOやオリパラやりたいから、検査（調査）してませんの間違いじゃないのでしょうか？？
54,6-4,2時間前,lqn*****,この政府のやることだから、確認してなくて未確認なんでしょうね。
55,6-5,2時間前,GAMDAM,顔色が良くなっていく加藤は仕事してないのがよくわかると感じます。
56,6-6,2時間前,shi*****,"加藤さんって、だんだん表情なくなってきて、ロボット化してる。安倍政権の時の厚労省の時にはもっと感情表現ある人だったのにね。
ロボットになったわけんだ！"
57,6-7,2時間前,ldw*****,顔のことは言ったらいかんがニヤケ顔でかなり損してるよな、この人。
58,6-8,2時間前,shi*****,"アレ？数ヶ月前に
何処かの研究者だか
東京型、埼玉型とか
言っていなかったかなぁ。"
59,6-9,2時間前,tic*****,注視するなんて、曖昧かついいかげんな表現をするな、政府のいう中止するということばは、なにもしないということだ
60,6-10,2時間前,may*****,"未確認…
「ない」とは言えないってことなら「ある」という前提で対策方法を説明してよ。
引き続き対策を～、じゃなくて
具体的なやつ。"
61,7-1,2時間前,sai*****,"未確認でも委員だけど、確認された時の事をしっかり考えておけよって事だよな
この政府ならマジでまったく考えてないだろうし"
62,7-2,2時間前,dod*****,">わが国で同様のウイルスは確認されていない
だからこそ入ってこないように手を打つのが仕事じゃないの？
あなたが厚労相の時みたいに流行をボーッと眺めてるだけなんですかね？"
63,7-3,2時間前,xx_*****,海外から入国後は事実上どフリー状態なんだから未確認ではなく未調査だろ？大臣なのに日本語も話せないのかな？
64,7-4,2時間前,kyo*****,"でも入国制限しないのであれば、時間の問題かと。
日本はせっかく島国なのに、このままでは政府による人災だよ。"
65,7-5,2時間前,xyd*****,"加藤さん、あなたにだけには言わない。
だって、真実をねじ曲げる人だから。"
66,7-6,2時間前,t33*****,早く辞めてお願いします！
67,7-7,2時間前,みんなの意見,"インフルでも
A型とB型があるからね
変異があっても不思議ではない
喉に来る人もいれば鼻に来る人も"
68,7-8,2時間前,mine,"まずはロンドン直行便を就航しているJALとANAへ運航中止を即刻伝達すべきだ。
そして現在の空港検疫をさらに強化して入国者、帰国者、再入国者の検査を徹底し、陰性反応だとしても空港周辺ホテルへ2週間隔離する措置をとるべきだ。
出入国緩和以降に空港検疫での陽性者が増加していることは間違いなく、既に変異種が入り込んでいる可能性もあるが、これ以上の侵入を許してはならない。"
69,7-9,2時間前,Quick_Plus,"わかり切った、質問とコメント。おもろない。
だから、どうすんの？そしてどうなるの？だからどうするの？
が欲しいね。"
70,7-10,2時間前,teck10,直ちに入国禁止にして下さい。また後手で変異種ウィルスが拡散されてしまう。
71,8-1,2時間前,new*****,今の日本の政治家達に任せていたら、マジでこの国滅びるよ。
72,8-2,2時間前,ks_*****,時間の問題だろう。
73,8-3,2時間前,sim*****,お前は何でも認めたくない誤解男だよ。
74,8-4,2時間前,gyd*****,"外国人の入国規制しなきゃ、意味が無いと思う、

でないと、TV東京ユーは何しに日本へ？が、

異種コロナをバラまきに、日本へになってしまう！"
75,8-5,2時間前,jlq*****,政府の言うことが全く信頼できない。。。
76,8-6,2時間前,kyo*****,"入国制限をしないと新種コロナが入ってくるのは時間の問題。
２月の春節で中国人が世界各国にコロナを広めたことを…もう忘れたのか！"
77,8-7,2時間前,Abcd,"確認しようともしていないんでしょうね。
目先の小銭しか確認できない。"
78,8-8,2時間前,ltd*****,入国制限をせず、日本に入ったら、菅政権は支持失うなぁ。
79,8-9,2時間前,7UP,今のうち入国止めろよ。どうせ確認してからアタフタするだけの頭しかないんだから。
80,8-10,2時間前,!!!,"全くの素人ですが、COVID-19は絶えず微細な変異をしているらしい。
正確な情報はどうなのか？
大分類でS型・G型・Ｋ型とは異なる新型なのか？
その場合でも、遺伝子ワクチンがある程度効果あるかを見極める必要があると思います。
夏に強感染・弱毒の傾向が東京型・埼玉型と騒がれた時期があったが、それと同じ類いではないか？
正確な情報に基づく判断・施策が求められると思います。"
81,9-1,2時間前,関西人より,知らんだけやろ
82,9-2,2時間前,hod*****,今のままだと直ぐに確認になりますね。
83,9-3,2時間前,tag*****,今はそうかもしれないけど、それも時間の問題になりそう。水際対策の強化が望まれるが、おそらくそうはならないだろう。だから時間の問題だと思う。
84,9-4,2時間前,＊＊,時間の問題
85,9-5,2時間前,純日本製,変異種菅内閣。
86,9-6,2時間前,itp*****,アナタが変異種でしょうに…
87,9-7,2時間前,mi******,未確認だからいいというのではなく、同じ過ちで感染を拡大させないようにしてください。
88,9-8,2時間前,fmm*****,"あーほんと何なのだろう。
イラついてしまう。
あとから考えても遅いんですよ。
先手を打つことが本当に大切なことだと思う。
後回し政策ばかり。
この1年コロナ対策で何をしてくれたのでしょうか。"
89,9-9,2時間前,tax*****,"でた、、、
人人感染確認してないと同レベルの超低レベルな発言"
90,9-10,2時間前,hap*****,お宅らはすぐ隠蔽するからなぁ。。
91,10-1,2時間前,hap*****,お宅らはすぐ隠蔽するからなぁ。。
92,10-2,2時間前,fir*****,今は、てだけの話だろ。
93,10-3,2時間前,red*****,だから外国からの入国を辞めろって。
94,10-4,2時間前,aft*****,"未確認だから良いわけではありません。
武漢株は制御したけど、欧州株で広まったことをもう忘れたのか？まして加藤さんは当時の厚労相でしょう。知らないなんて言わせませんよ。"
95,10-5,2時間前,han*****,"日本に入ってきたとして、それを公表するかは別問題だろう。
コロナ当初から考えると、インパクトの強すぎることは隠したりぼかしたりしてきた前歴があるからなぁ。
EU経由で日本に来る、もう来ているかもしれないし、広がるとしても年明け後かな。表向きはビジネスや留学などとされているが・・・どうだろうか。
スキーしにやってくる人もいるだろうし。"
96,10-6,2時間前,go_*****,あなたたちはいつも確認してから動き出すから遅いのです。
97,10-7,2時間前,doshirottenda,自慢気に言ってるけどすぐに入ってくるのはわかるやろ。能天気め
98,10-8,2時間前,nah*****,この人が言うと全て嘘に聞こえるのは私だけ？
99,10-9,2時間前,kyk*****,"五輪かかる費用は医療に回すべき！

そうすれば助かる人が増える、医療業界の人にきちんとお金も回る。
そもそもコロナ以外でもケガ･骨折･病気になる人だっているのに、緊急で手術が必要になる人もいる。
コロナ以外の患者も受入れられなくなる。
安い給料で、リスクあって、忙しいだけの医療なんか皆やらなくなるよ。
人の命を助けたいという使命だけ仕事するには、今は厳しすぎる。"
100,10-10,2時間前,kem*****,"未確認ですって堂々と言われてもねぇ
そもそも確認する気ないでしょ
厚労大臣のくせにコロナ対応を西村に押しつけて逃げてたもんね"
101,11-1,2時間前,アキレス腱,"でしょうね。
仕事遅いから半年後くらいに確認できるんじゃない？w"
102,11-2,2時間前,eso*****,手遅れになる前に、きちんと対応して欲しいです。いつも日本は後手後手になるので。
103,11-3,2時間前,ywc*****,ワクチンできても、あまり意味がないのでは？
104,11-4,2時間前,kar*****,早くオリンピック中止と海外からの渡航者を制限して国内の感染を収めて欲しい
105,11-5,2時間前,tak*****,たいした検査してねえだろ
106,11-6,2時間前,やまやまさん,より欧州諸国、特にイギリスへの感染症危険情報レベル4の待避勧告、それが日本人でも。例え異変種でも重症・死亡、有り得るかも知れないが、下手に微生物含む全生体の滅亡、それがヒトでも、夏頃に起こった中国本土のブニヤウイルスもしかりの。
107,11-7,2時間前,mus*****,今あるワクチンで　効果がある範囲の変異であることを祈るしかないね。これで　無効の変異が出てきたらと思うと、ゾッとする
108,11-8,2時間前,hkk*****,ザルだからどうせすぐ入ってくるよ
109,11-9,2時間前,biz*****,"大阪では入ってきているよ
なぜ発表しないのか不思議"
110,11-10,2時間前,hiro*****,"流入を止めようともしない
アホでしかない"
111,12-1,2時間前,uma*****,"だから海外から入れるなよ
先手先手を取れよ糞タワシ"
112,12-2,2時間前,yuk*****,"海外渡航を緩和してる以上、いつ入ってもおかしくないし、既に入っているかもしれない。
その危機感はあるんだろうか。"
113,12-3,2時間前,tx3*****,外人入れてたら時間の問題でしょ
114,12-4,2時間前,cha*****,"だから何だよ。と言いたい。
確認されてからじゃ遅いんだよ。
今すぐ入国制限して下さいよ。"
115,12-5,2時間前,くだらない報道に物申す！,"だから流行りの風邪は毎年何回も変わるだろ？
素人かよ。

だからこそワクチンなんぞ無駄だってわからんかね。"
116,12-6,2時間前,com*****,とりあえず外国人の入国制限しろ
117,12-7,2時間前,pjk*****,当てになるか。もう進入してる可能性もある。売国奴が外国人の入国規制緩めたから。
118,12-8,2時間前,min*****,どうやったら確認してくれて、海外からの入国阻止を開始してくれるの？この人たち…遅くない？
119,12-9,2時間前,pop*****,早急に入国制限措置お願いします
120,12-10,2時間前,ppe*****,"入国制限してほしい
春節でまた中国人が大量に観光に来るのは嫌だし、
制限しなきゃすぐ持ち込まれますよ"
121,13-1,2時間前,kiiroichanchanko,今、国内に無いならそれこそ入国制限を厳しくして欲しい。
122,13-2,2時間前,eme*****,"これからでしょ。
その前に早く鎖国してよ！"
123,13-3,2時間前,myshow,勿論まだ未確認ではあると思うがこの人の言葉って信用ならない。響かない。
124,13-4,2時間前,cbg*****,まさか菅はアメリカの次の大統領決まるまでのお飾り？
125,13-5,2時間前,marvelous,なんかイラッとするのは私だけだろうか。
126,13-6,2時間前,per*****,ま、年明けには、上陸するでしょう。
127,13-7,2時間前,k1x8gv****,"そのうち日本でも確認されるだろう。
今のように、遅くて中途半端な政府の対応ではこの先不安だ。
感染収束に向かうことを願う。"
128,13-8,2時間前,sunnosuke,この国の場合、国会議員が変異種だな（笑）
129,13-9,2時間前,yo2*****,本当か～？もう存在し拡大しているのではないのか？！
130,13-10,2時間前,********,最近都内では、また徐々に外国人を見かけるようになってきました。きのうも電車で見かけた３人グループの外国人のうち２人が、マスクをあごに付けた状態で話していました。水際対策を徹底してほしいものです。
131,14-1,2時間前,fuj*****,これもすぐに増えそう。
132,14-2,2時間前,tir*****,オリンピックあるから、また隠し通すね。延期、中止決まったら発生するよ。
133,14-3,2時間前,atdj,"だから、先を見込んで対応策を考えるんだろ？
いつも後手後手になってるのが分からないのか？マジで危機管理が出来ないって言うか、能無し。"
134,14-4,2時間前,ref*****,だから今のうちに入らないようにしろって
135,14-5,2時間前,***12345***,"まだ確認されていないだけで、海外からの入国があるなかそのうち確認されるでしょう。
今はまだとかそんな悠長なことを言っている場合ではない。"
136,14-6,2時間前,tom*****,"もう後手後手に
まわるなよ。"
137,14-7,2時間前,ひき逃げ事故の被害者(後遺症有り,"時間の問題でしかない
ここでも日本の検査数の少なさが懸念材料となる"
138,14-8,2時間前,hwl*****,後手後手対応の日本政府だけに恐怖。。。
139,14-9,2時間前,arf*****,変異ウイルスを国内で確認してから入国制限では遅すぎる。
140,14-10,2時間前,hor*****,国内で見つかってからでは遅くないか？
141,15-1,2時間前,"&%$#""!",ＧｏＴｏのエビデンスはない発言の時も思ったけど、未確認と言うのは確認しようとすらしていない状態の事だよね？
142,15-2,2時間前,asa*****,"無用な心配をかけて欲しくないですが、無用な安心もいりません。
信憑性ゼロ。"
143,15-3,2時間前,bcj*****,"確認してから対策するといういつもの方針でまた、後手後手に。
ワクチン契約しましたが、変異を繰り返してワクチンが効果が無くなる
可能性とか考えないのですか？"
144,15-4,2時間前,nob*****,"この役にもたたない無能な官房長はどうにかならないものだろうか。
言うことに、なんの意味も、意思も、誠意もない。
かつ、いつものことですが、
「いまは関係が確認されていません」（＝まだわかりません）といい、対応を後手後手後手にしておき、やっと対応するときには、時すでに遅しになっている。
これを「無能」といわずになんというのか。
まー、「ＹＥＳマン」であることだけで、官房長などにいる方だからしょうがないのかもしれませんけど。"
145,15-5,2時間前,cat*****,コイツの言う事は信頼性ゼロ
146,15-6,2時間前,wsd*****,未確認ですで終わりじゃなくて、変異種を持ち込まないためにも入国制限を強化してください
147,15-7,2時間前,war*****,"ほんとかよ
嘘くせぇ"
148,15-8,2時間前,heb*****,"英国のウィッティ首席医務官は「新たな変種がさらに速く広がっており、新たに発見された変種ウイルスは約１０００種に達する」と明らかにした。

近いうちにより強力もしくは耐性ワクチン変異種が１種でも出現する事は時間の問題であろう。
逆にワクチン接種が広まれば、その可能性が高くなるであろう。
それが、ごくあたりまえの自然の摂理というものである。
やはり、小生がコロナ初期より主張してきた対処療法薬の開発が正解であった。"
149,15-9,2時間前,クレヨン晋ちゃんは大天才！！,そういう視点で検査していなければ、確認されないですよ
150,15-10,2時間前,key*****,外国人の入国を認めてるのだから時間の問題だと思いますが。
151,16-1,2時間前,dar*****,「『37.5℃以上の発熱が4日以上続いたら、初めて保健所に電話しても良い』って基準は、下級国民の誤解w」でお馴染みの加藤氏の発言を真に受けたら、あの世行きです。
152,16-2,2時間前,ras*****,"今は確認できてないだけで、あると思って行動する方が先決だと思います

それにも関わらず入国緩和を継続するし五輪のためなのかわかりませんが、国民の命と五輪によって失われる政治力どっちが大事なのかはっきりしてください(確かに後者も大事ですが、これ以上財布にされるのは勘弁です)"
153,16-3,2時間前,s11*****,"時間の問題だよ。
ほんとこいつら素人な。
あんた元厚労大臣だろ？
ま、USB使えないやつがIT担当相やる政党だからな、自民党は笑笑"
154,16-4,2時間前,unchinkomatsu,この世の終わりじゃ〜(︎ ՞ਊ ՞)︎
155,16-5,2時間前,mir*****,存在の未確認なのか、その情報の未確認なのか。
156,16-6,2時間前,*****,"もう2階への忖度はいいので早く入国規制厳重にしてください。
なんでも行動が遅すぎる。"
157,16-7,2時間前,h*****,"だからどうするのか
入国制限とか規制強化とか、具体的に素早く動いてほしい"
158,16-8,2時間前,mor*****,"未確認なら一層手遅れになる前に対応を！
後手後手になると国民の心、医療関係の方、全ての方の気持ちがもたないよ…"
159,16-9,2時間前,たかたか,入ってきた時、どうするか～国民の反感買うように説明しないと。加藤らしくないな～。またｽﾞｯｺｹさせて欲しいのに。
160,16-10,2時間前,ishin,"確認できないのは
調査が甘すぎるから"
161,17-1,2時間前,ghq*****,後出しジャンケン男の発言だから失言しない、自分の力はない男
162,17-2,2時間前,ich*****,来週になったらそんな呑気なこと言えるか？今対策しろ！
163,17-3,2時間前,y*****,既にこの先生信用してません。
164,17-4,2時間前,tra*****,"令和は悪夢ばっかり。
平成が平和すぎた。
ぼくは平とかいてヒトシと呼ぶが
親とおばぁちゃんが平成の平和な平穏な時代に
産まれたからこう名付けたらしいが
今、改めて平成に生まれて良かった。
名前の由来もその通りすぎて。

私ゆとり時代やけど、んまに今は
変な時代やわ、嘘ばっかつくし
詐欺や変態や殺人やSNSやらアホばっかり

令和は悪夢ばっかりだね
コロナも終わる気しないし"
165,17-5,2時間前,sin*****,"GOTOが感染拡大に繋がった証拠は未確認、と同じ言い分。
だから、今の検査無し入国を続けるだと。
本当、ウィルスよりタチが悪い。
もう、現政権は、どっぷり感染、重症化している。"
166,17-6,2時間前,dai*****,入国規制緩和してるから絶対に入ってくるよ。
167,17-7,2時間前,yuk*****,加藤ちゃん、いつもニヤケづらで話しやがって。
168,17-8,2時間前,own*****,国内ではヒトヒト感染は無いとか言ってた頃から何も変わってないな
169,17-9,2時間前,old*****,"「国立感染症研究所によると、わが国で同様のウイルスは確認されていない」

国立感染症研究所では、当該検査は実施してるんですか？
やってないから「確認」されてないだけでは？？？（念のため）"
170,17-10,2時間前,grj*****,"なるほど核心には言及を避けたね。
余計な情報を流すと経済が混乱するからね。
国内で感染が確認される前に、やる事は？
特に今まで通り変えないってか？イギリスとの往来も継続すると？"
171,18-1,2時間前,安倍三蔵,"検査数少ないから、たまたま出てないだけでは？
外国人受け入れているのですから、そう遠くないタイミングで出るでしょう。"
172,18-2,2時間前,mys*****,どうにもこうにもワクチンを接種させたいみたいなので草。
173,18-3,2時間前,rac*****,鎖国しろ
174,18-4,2時間前,btw*****,"ここまで色々言われてても
この政府は、先手の策が無い、あるいは国民に対して策を公表しないのが不思議で仕方ない。
ある意味凄いわ。
つまり変わらず行き当たりばったりで後手の対応するつもりなんだろうね。"
175,18-5,2時間前,ヒラヤマン,オリンピックまじ無理やろ。
176,18-6,2時間前,yun*****,"得意のごはん論法じゃないだろうな？！

こいつの言うことは信用できん！"
177,18-7,2時間前,sug*****,"未確認とは確認はしてるが該当してないのか、全く確認すらしてないのかで話は変わる。
そもそもこの人の言うことに正確性がないのは事実として確認している。"
178,18-8,2時間前,cob*****,"元々コロナの変異種が新型で変異しようがしまいが大なり小なりウイルスは変異するでしょ
子供でも知ってる"
179,18-9,2時間前,mom*****,"世界初で対処が分かりにくく大勢の医療樹維持者を要するコロナ。

まだ日本で見つかってないなら、不要不急な外国人の入国を拒否すべき。"
180,18-10,2時間前,sun,"このままだと確実に入ってきますよ？
素人でもそう考えるよ
早く対処して下さい"
181,19-1,2時間前,sun,"このままだと確実に入ってきますよ？
素人でもそう考えるよ
早く対処して下さい"
182,19-2,2時間前,ny_*****,"国内で確認してから対応したんじゃ遅いって。

さっさと対応方針出しなよ。"
183,19-3,2時間前,jr,もう進撃の巨人みたい。
184,19-4,2時間前,生麦生米生EGG,開発されたワクチンでは効かないのか？どうなんだよ！
185,19-5,2時間前,yui*****,"時間の問題です。
流入を止めれるもんなら止めてみろ！"
186,19-6,2時間前,◇◇＠☆★,コロナの拡大に付き合うのが、外交の一つだと思って無いでしょうね。
187,19-7,2時間前,han*****,確認していない。では無く調べていないの間違いじゃないかな。入国も規制する気無いのだから確認されるまでは時間の問題。
188,19-8,2時間前,sup*****,"今井ないないのは結構。それよりこれから入れるなという話です。
初期段階で水際対策の失敗をやらかしているのだから、同じ失敗は繰り返さないで頂きたい。"
189,19-9,2時間前,i*****,"よし！
今なら入国制限で間に合うんだな！"
190,19-10,2時間前,tak*****,"政治家の言う事など、誰も信用してない。
既に見つかってるのに、隠してるんじゃないかとか、疑いたくもなる。
嘘ついても平気でいられる厚顔無恥の集団が政治家なんだから。"
191,20-1,2時間前,,「確認されていない(から何もしない)」ということ？また同じ失敗する？
192,20-2,2時間前,afg*****,この人の言うことは信用ならない。
193,20-3,2時間前,zar*****,今は未確認だとしても、遅かれ早かれ日本に入るのは時間の問題。だからこそ、医療機関を政府がバックアップする体制を作らないと、入ってきたらとんでもないことになる
194,20-4,2時間前,vof*****,"これは、中国が製造した人工ウイルス。
中国に製造開発工程を開示させる必要があるのでは。
そもそも何のために開発したのか。
マスコミは、怒りの矛先を徹底して政府に仕向ける
世論誘導、対策批判ばかりだが、
何より、人工ウイルス製造拡散国、
中国の世界的責任は重大だ。
世界で150万人が亡くなった。
世界被害国は、中国に、損害賠償請求するべきだ。"
195,20-5,2時間前,utm*****,なんかムカつく顔やな
196,20-6,2時間前,S-00999,即入国規制のレベルを上げろ！
197,20-7,2時間前,sor*****,今の政府の対応じゃ、日本にこのウイルスが来るのも時間の問題ですね。
198,20-8,2時間前,a.b.c.,はい、菅、加藤、西村の三バカのせいで、また支持率ダウン。
199,20-9,2時間前,gol*****,変異ウィルスに恐れるなら、入国の際は全員PCR検査、指定したホテルで2週間隔離、費用は全て渡航者もちで感染対策するべき。
200,20-10,2時間前,nad*****,"中国のお正月の時、どうしたよ？それでどうなったよ？
教訓とかは無いわけね…"
201,21-1,2時間前,nao*****,確認されていないコメントより、イギリスとの往来を止める方が先にすべきなのでは？何をしても遅い政府だね？
202,21-2,2時間前,rtgeisiio,"確認される前に対策するのが、普通でしょう。
確認されてから対応するならだれでもできる。
言われたからやるでは遅い。。
サラリーマン議員はこれだからダメだね。"
203,21-3,2時間前,元探偵,確認できてからでは遅いっての。変異したのってワクチン効くんかい？せっかく多額の税金使ってワクチンを取り寄せるんだからさー、無駄にならない様にしようよ。確認できてない内に水際対策厳しくしろっての。なんかオリンピックやりたいって言ってる割には危機感ねーよな。口だけ番長かい？
204,21-4,2時間前,bur*****,"確認してから対策では遅いやろ
無能が国を滅ぼす"
205,21-5,2時間前,oka*****,今ならまだ間に合う。最終的に入ってしまうとしてもそれをできる限り遅らせないと。経済が心配なのはわかりますが、今のうちに入国制限や2週間隔離を復活させてほしい。今ならまだなんとかなる。
206,21-6,2時間前,jry*****,あんたが言っても安心できない。
207,21-7,2時間前,yxw*****,"超がつくほどのお役人気質のこのお方に言われても…
責任感のせの字もありませぬゆえ。"
208,21-8,2時間前,tak*****,検査数少ないのに偉そうに胸張って言える訳無いだろ？www.
209,21-9,2時間前,************,"早く入国規制するべき。オリンピックは諦める。そして二階の政治生命を終わらす。
これが当面の目標。"
210,21-10,2時間前,イワシ,どうせ見つかったら、右往左往するのだから今から空港閉めて対策すれば良いと思いますが、何もしないでしょうね。
211,22-1,2時間前,hir*****,中国の報道官みたいで見た目が悪すぎｗ
