,number,ユーザー名,コメント
17,2-7,jaj*****,"調整は要らないです
速く何もやってない議員さんの給料を減らし医療関係者飲食店に寄付金を配ってあげてください。それが今やるべき事だと思います"
18,2-8,nqn*****,医師会からも昨年よりも長期戦になると言っているし、今の状況では抑えることなんて出来ない。仮に抑えて宣言を解除してもまた政府がGOTOとかイベント開催して感染者は急増のループになる予感しかしない。
19,2-9,har*****,1ヶ月自粛したってその後また感染拡大するから結局一緒。騒いでる人間を抑えたいだけ。
20,2-10,ab9*****,"中途半端にやって中途半端に終わるのが1番ダメだと思うな
本当に国民のためを思ってるのかな？"
21,3-1,nor*****,１４か２１の方が良くない？だらだら延長がダメだよね。
22,3-2,tom*****,"学校で感染したら家の家族も感染するので
絶対に感染者は、減らない"
23,3-3,commission9352,5月くらいまで徹底的にやりましょう。
24,3-4,dm0*****,"２月７日までの期限で済む話ではない。
しかも飲食店だけに自粛を強いているが、コロナの発生は職場や学校、病院でクラスターが発生している。
とにかく人が集まる場所で密空間に長時間居ると感染し易いみたいだから、全体で取り組むべきではないだろうか？
これから入試シーズンを迎えるが、入試の延期と10月入学を真剣に検討すべきだろう。
尾身会長も感染爆発と言っているだけに、宣言後も感染者数の増加は収まらない。
政府の対応は余りにも楽観的過ぎて生温い。"
25,3-5,Dameoyaji,お隣は２月１２日から１週間正月休みですが、怖くて誰も来ないと思います。
26,3-6,sky*****,"インフルエンザ考えたら
春までは…"
27,3-7,tak*****,"根拠となる『エビデンス』はあるんでしょうね？

あんだけエビデンスが無いからやらないと言ってたんだから、やるにはエビデンスを提示してもらわないとね。"
28,3-8,may*****,"菅内閣はコロナ拡大織り込み済み。
とちぢが騒いでいるから
少しやろっかみたいな感じでしょ。
支持率維持が最も大切なのでは？政治家は。"
29,3-9,buy*****,"収束状況も読めないのに何故先に期間を決めるの？
結果前回だって政府が甘い見通しでフライングしちゃった反省とか無いのかね？"
30,3-10,skm*****,"これ感染者の増加率が一定以上が、一定期間続いたら総数にかかわらず、「緊急事態宣言」ってできないのかな。

つど判断してるから遅いんだよ。"
31,4-1,abc,"解除されても
もとの生活には戻れないよ、
といわなければ。

二の舞だよ？"
32,4-2,to*na*ri*no*totoro,"緊急事態宣言の期間は、少なくとも３ヶ月は必要。

下手をすれば４月５月までの宣言延長も十分に有りますね。"
33,4-3,tpk*****,"なんで春節前にしたの？
これで中国からいっぱい人来るのかな…"
34,4-4,tom,"期間が短いですね。
緊急事態宣言を出したなら
冬季期間(空気が乾燥する期間)は続けた方が
良いと思いますよ。"
35,4-5,iso*****,始まってもいないのに終わりを決めんの。2Fや財界への忖度で、「あとは野となれ山となれ」。結果が良ければよいが、医療崩壊を起こして救急車呼んでも、順番待ちで明日になりますなんてことにならなければよいが。
36,4-6,小鏡禿之紀,"危機対応の遅い政府。昨年来、特措法の改正議論を全く行わない国会。政府の不手際の時だけ張り切る野党。
小出しで緩慢な緊急事態宣言では収まりません。
直ちに国会を開いて、特措法を改正し、強制力、罰則のある有効な施策ができるようにするべきです。"
37,4-7,yok*****,"春節2/12に合わせたのが
みえみえ
なんなんだよ
今の日本は　情けない"
38,4-8,p74*****,大阪の百貨店にも時短要請してほしい。めっちゃ人多いって。それにしても時短って何時閉店？２０時とか意味ないから。
39,4-9,qnu*****,飲食の時短だけでは減らない気がする…
40,4-10,atu*****,中途半端な、期限は税金の無駄遣いになる
41,5-1,tsu*****,"時短なんていう中途半端な対応では感染が抑えられるはずがない。そして緊急事態宣言が1ヶ月で効果が出る段階ではもはやない。また各々第一波ほどの体力も残っていない。

医療は完全に崩壊しかかっている以上、暖かくなるその日まで数万人という人が亡くなり、それをはるかに超える人々が後遺症で苦しみ続ける未来しか見えない。"
42,5-2,whi*****,"時短営業に応じない店舗を公表するなら、受け入れ能力があるのにコロナ患者受け入れを拒否し続けている民間の中規模、大規模病院の名前も公表すべきでは？？？

何故立場の弱い一般市民や飲食店や観光業にばかりに制限をかけ、欧米の１割にも満たない患者数で医療崩壊とか騒いでいるこの国のおかしな医療体制の変革には一切動かないのですか？"
43,5-3,yma*****,"今の状況に対し政府はお馬鹿集団である！
国民の税金で贅沢して何を考えている？
国会になんて言ってる時間は無いぞ！
医療従事者をはじめ国民を守る志はあるのか？
出来ないのなら議員を辞めてください。
もちろん退職金無しで…。
とにかく日本中ロックダウンでしょ！"
44,5-4,uka*****,魔女狩り範囲拡大中
45,5-5,lon*****,あの虹のマークはなんだったのか
46,5-6,jad*****,ホットヨガにスポーツクラブ、インドアゴルフにインドアテニス…確実に潰れますね
47,5-7,もふにゃ,"期間を決める意味はない。感染者数に応じて臨機応変に動いてください。
危機感のない政府。政府は世論で言われるまで動かないのですか。今、政府としての機能を果たしていないと思います。
国民のトップとして考えて動いてください。それができないのならその座を辞してください。"
48,5-8,"￡(｡･""･)o怒りの鉄拳",緊急〝時短〟宣言
49,5-9,sav*****,パチ屋への休業要請キター！
50,5-10,vud*****,昼間の活動を抑えなければ効果ないと思うけどね。
51,6-1,vnn*****,後付け激しすぎるでしょ…
52,6-2,mam*****,これを１１月にやっていれば、年末年始も本来の姿やったかもね。ダラダラしてるとかえって経済的影響が大きい。
53,6-3,han*****,"20時閉店だと仕事終わりにギリギリ寄れて混んじゃうだろうし、その後の電車もすごい混む。

元々の帰宅時間とも被るし中途半端な策はやめてほしい。

時短要請でどこまで減らす気で期限が1ヶ月なのかわかるようにしてからスタートしてほしい。"
54,6-4,dar*****,"バカな政策。問題は何なのか、その要因は何なのか。
問題は医療崩壊と死者数。で、その原因は重症者。数字にも明確に出ているように、年寄りと疾患持ちさえ感染させなければインフルエンザ以下。
ミスリードされ騒ぎ立てる国民達が、自分で自分の首を絞めている事に気付いてほしい。"
55,6-5,tor*****,大相撲はせめて無観客試合にしてもらえませんか。。
56,6-6,tat*****,パチンコ屋さんは空気が綺麗だよ
57,6-7,kyg*****,分科会の見識では、4ヶ月位は緊急事態宣言を行っていかないとコロナは中々収まらないとハッキリ言っていたが?政府はこれを無視して1か月とか言うな。ちゃんと分科会の見識を鑑みて発言してくれ。
58,6-8,サンダーバード,"テレビ局もバラエティーなんかやらないで昔のドラマと報道だけでいいでしょう
芸人なんかでなくてもいいよ
歌手も危ない
オペラなんてとんでもない
ミュージカル論外
ドラマの再放送やっていればいいよ"
59,6-9,kei*****,"１０００平方メートル以上の百貨店に、大型スーパーは含まれるのかな？

スーパーマーケットの営業時間を短縮したら、逆に密集を招く事になりそうだが・・・"
60,6-10,w*****,"どうすれば、今の政治家を辞めさせることができますか？

何をすればいい？

二階や麻生…菅…
もう一般人の気持ちに寄り添えないような輩なら、議員をやめて欲しいし、ボケたことしか言えない爺さんはもういらない。
早く議員も定年制にしてくれ。

私たちはどうすれば解散に持っていける？
誰か教えてくれ…"
61,7-1,,"通勤される方は、時差出勤と自転車通勤を進めるとありますが、、、
都内私立に通っている電車乗換する子供はどうすればいいのでしょうか。
とても不安なんですけど。。。"
62,7-2,tak*****,ああ〜嘆かわしい！無能無策な日本国政府。全てが後手！全く学習しない政府なんですね。この数ヶ月何をしていたのですか？この税金泥棒！
63,7-3,yu*****,"菅義偉よ、状況を分かっているのか？
感染リスクを徹底的に潰さないと、感染者は減少傾向には転じないぞ。
何を言っているか、わかりますか？
人との接触を8割減らすんですよ。
すなわち、4月の緊急事態時と同じ状態に持って行かなければ、同じ効果は得られないのです。
まだ人殺しを続ける気ですか？
夜、寝てる場合ではありませんよ。
あなたのその緩い判断が、人を殺しているんですよ。
徹底的に人の流れを止めて下さい。
時短では効果がない。
休業です。
百貨店は休業です。"
64,7-4,tck*****,イベントなどには要請せずという一方で百貨店や遊興施設に要請と言う事は、Gotoもそうだったように政府との癒着具合で忖度されたりしなかったりと言う話しなのだろう。
65,7-5,tkg*****,"ダメですねこれは。
叩きやすいところしか叩いていない。
至近距離での飛沫拡散と接近の筆頭である夜の店と酒類の提供を控えるよう呼び掛けることが大事なのに。"
66,7-6,yok*****,百貨店の保証って幾らになるんだ？
67,7-7,tsu*****,"不要な外出する理由を無くさないと減らないでしょ。去年の春以上のことをやらないと。

と思います。"
68,7-8,gmf*****,"前回一斉に止めて今回こんな状況下で時短だけ。
保育園でもクラスター始まってるし、学校始まれば学校で発生する。
結果的に昨年と同じ事になる。
相も変わらず後手後手の一歩ずつ。
アクセルとブレーキを同時に踏むなんて出来やしない。"
69,7-9,ldw*****,"二階「１か月なら許すよ」
菅「ありがとうございます！！」"
70,7-10,two*****,春節には解除。これ予言です。笑
71,8-1,MCQY34SL.O,感染を抑制するためには、営業時間を短縮するより、直接店に並ぶ人数、店に入る人数の制限をかける方が効果的だと思いますが、違いますかね？ 営業時間を短縮した場合、早めにくるお客さんが増えて密になりやすい→来客が感染する可能性が増す気がするのですが。
72,8-2,やまやまさん,より夜8時～翌朝6時の作業以外の外出禁止令を。終夜・深夜営業のお店も時短に。また終電・終バスを早め始発を遅らせる。あとその間全員お家、PPV・有料配信サイトもタダに、緊急事態でレンタルビデオ・コミックの需要、貸出中も増える。
73,8-3,ser*****,"もう自民党滅茶苦茶。
絶対に選んではいけない政党。
じゃあどこがいいんだ！って言う輩居るけど自民党よりはマシだよ。
未だに支持者が居る事に鳥肌立つし、票田のジジババもよく考えて欲しい。"
74,8-4,n_a*****,"小出しに期間延長するよりも最初は
思い切って長めに言っておいて

各指標が減ってきたら、
『皆さんの自粛のお陰で、緊急事態宣言を予定より早く終わらせることが出来ました！』

っていう方が効果的ではないでしょうか"
75,8-5,vaq*****,"ほぼ非常時に野党は桜にかまけてる。
壊れてるとしか言いようがない。維新、国民除いた野党はゴミに等しい。"
76,8-6,半ライス大盛り,これも巡り合わせなのか、日本は有事の時代に該当政府が弱い気がする。
77,8-7,owf*****,時短要請を拡大して徐々に閉めていく方針ね！反発の声を抑えるためか？
78,8-8,tma*****,１ヶ月というのは、あくまでも予定であって、それだけ早く抑え込みとかできないと思います。尾身会長も無理だと言っていました。それなのに気楽に、言ってしまうあたり二階さんに忖度しているのだろうと思ってしまう。もっと開けた自民党であって欲しい。
79,8-9,kin*****,五輪開催を目指した宣言てことですね。理解しております。
80,8-10,e23*****,"風俗、キャバクラ、ホストクラブを、春までの２か月営業休止にしろ。政府主導で営業休止にするから補償もセットで。餃子の王将や日高屋とかの外食に関しては営業時間はそのままで酒の提供禁止と食事中の一切の会話禁止。

時短要請より、上述の急所を狙い撃ちした策の方が効果あると思うけどな。尾身先生も言っていたが、６割が感染経路不明で、かつ飲食に関係しているとのこと。そこから導かれるのは特に口が無防備になる場所が原因と考えるのは自然なことだし。"
81,9-1,*********,"学校も休みにしてください。
学校でクラスターが出ていないことになっている意味がわかりません。
クラスターは起きてます。
有耶無耶にされて単発扱いになっているだけですよ。
発熱者がいても、周囲の人間を濃厚接触にはあたらないとし、検査しなければクラスターはできません。
これから子どもたちの間で猛威をふるい始めてもおかしくないと思っています。
怖い。"
82,9-2,kag*****,春節まで延ばせよ二階爺さんよ
83,9-3,y_n*****,世界銀行の見通しによると、今年の日本の経済成長見込みは、アメリカ、ヨーロッパ、中国よりも低いらしい。コロナの感染者は圧倒的に少ないというのに。どうしてこうなってしまったのか。
84,9-4,kyk*****,"で、要請に応じない場合は名を晒すんだっけ？
なんか、違法な事してるみたいで営業妨害だな！違法な事していないのに！
あれだけ感染拡大しても、高級レストランでステーキ食べる人いたよね～。
西村さんも、それがダメな事ではないと言ってたよ～。顔は引きずっていたけど。"
85,9-5,sin*****,"ちょっと考えればわかることだが、学校全部休校すればかなり人が減るぞ。
特に受験生はコロナにならないかビクビクしてるぞ。"
86,9-6,nag*****,遅い遅すぎる！中国や台湾、韓国がコロナ落ち着いているのとうちの国の差は与党及び内閣の力不足だと思います。分科会の意見をあしらい続け、感染者増の責任は知事に押し付け、会食を繰り返す政府なんて情けなすぎる。同じくマスコミがこういった政治をたたかないことが悲しすぎる。そら感染者も増えるわ。飲みに行くのはもー少し我慢！オレはする！
87,9-7,syo*****,開いた口が塞がらない
88,9-8,clx*****,て事は夜8時以降は自粛警察が出歩くって事か。
89,9-9,amu*****,"百貨店を時短って意味あるの？
時短じゃなくて自粛じゃないともう無理じゃね？"
90,9-10,lag*****,政治屋さん達は馬鹿だぞー
91,10-1,h*****,"日本医師会の中川俊男会長は６日の記者会見で「今後の感染拡大の状況によっては全国的な発令も考えなければならない」と述べた。

中川、お前に発令する権限はない。"
92,10-2,gsx*****,"１ヶ月間って根拠はなんなの？
来月7日以降に解除しても、また少しずつ増える気がするのだが"
93,10-3,wak*****,"日本は大丈夫なのかな？
こんな状況でもスラム街みたくならないのは国民性故か。
そもそも麻生は憲法85条に低所してないか？
お前の金じゃ無いんだからさっさと国会の承認貰って休業している店や人に金配れや。
皆さんどう思う？"
94,10-4,slow life,終わりが決まっててどうすんだよw
95,10-5,qnu*****,"なんでこういうのだけ期限決めるんだ？
オリンピックはいつ決めるんだよ！
部活制限するのにオリンピックは開催か？
もはや意味がわからん"
96,10-6,zar*****,このクソ寒い時期に自転車通勤はかなり大変よ。家から会社まで近いならまだしも
97,10-7,ｵｯｻﾝ,"協力金一律1日6万て、
家賃無し、店主一人の店は
笑いが止まりませんな。

日本は、資本主義
社会主義見たいな対応すんな"
98,10-8,mmm*****,"夜8時以降は飯食えないとかダイエットか健康診断と同じじゃねえか。
そんなことより補償金はどうなったんだよ！
いくらくれるんだよ！早く金額決めて支払えよ！"
99,10-9,joe*****,2Fが嫌
100,10-10,das*****,"こういうの作成する官僚って、現場を知らない人達なんだろうね。
20時以降外出禁止なんて言ったら、18時台や19時台の電車が帰宅ラッシュになってしまうよ。"
101,11-1,あちゃ,"春節中国人絶対入れないでください!!

たった1ヶ月で済むのかどうかは外国見ていれば馬鹿でも分かる。

日本、終る。"
102,11-2,kst*****,マジ中途半端
103,11-3,aeh*****,"時短はいいけどさ
それに付随して
飲食店や商業施設に出入りしてる
業者の人やスタッフの仕事も減るんだよ

日本全体がさらに不景気になるってのに
飲食店だけ協力金？
みんなにだせよ！

バカ知事連中と議員連中は
やっつけ仕事しかしないな"
104,11-4,jct*****,曖昧な緊急事態宣言、意味無い。
105,11-5,jmdhwtp,"年寄りだけ戒厳令でいいだろ
若者には働いてもらって、しっかり飲み会やレジャーで遊んでもらわないと"
106,11-6,This is japan,"池袋西武は夜遅くまでやってて、仕事帰りに重宝していますよ。
早じまいは困る。"
107,11-7,sev*****,"合理的な説明一切なし。春節前に解除か…
誰だよ、こんなアホなやつらに投票して国会議員にしたのは…"
108,11-8,cuq*****,"感染者数が増えて対応したのに基準が一ヶ月?
そこは感染者数でしょ。"
109,11-9,nao*****,"神奈川県内のスポーツクラブや学童、ジムも宣言の対象にして下さい。
３密に成る時多々有ります。
総理の判断？
県知事の判断？
市長の判断？
政治家の早急の対応を期待します
今後コロナ出た場合は恨みます。"
110,11-10,lka*****,期間は決めず、患者数とか重傷者数で決めないと、結局ズルズル伸びるよ
111,12-1,sug*****,"検討、調整、方針、、、
ばっかり。。。

「やってる感仕事」の官僚が作る作文待ってるんだろ。

全くもって、
あてにならねぇ内閣だ。"
112,12-2,mas*****,国内6000人超えで成人式も中止になってるのに、大相撲は有観客で実施するとか正気ですか？それとも選挙に影響力の高い高齢者に配慮して収容人数と時短で誤魔化して強行開催するのかな？
113,12-3,117117,"日本は政府の愚策で自滅し、こらから一気に衰退。
もう、出生率も上がることもない
少子化とスーパー超高齢化社会に、2030年になんて目標の言葉はもう虚しいね。
コロナが欧米並みに拡がらなかったのは、国民の学習能力と知性が高かっただけのたまたまの幸運。"
114,12-4,meg*****,"ショッピングモールで勤務してます。
年末年始は例年より客足は少なかったものの、それでもたくさんの人が動いてます。緊急事態宣言が発令されましたが、営業時間は変更ありませんでした。時短営業になったとしてもお客様はいらっしゃいます。営業を止めないと人は動きます。医療が逼迫してるのに何故昨年より緩い内容なのでしょうか？１ヶ月後に解除できるとは到底思えません…"
115,12-5,okb*****,"外出自粛を促すなら、デパートやイオンモールといった大型ショッピングモール、地下街については、平日は時短営業、土日祝日を休業にすべきです。イベントについては、観客動員数の制限といった小手先だけの対策でなく、全面的に中止にすべきと思います。図書館や公民館といった公共施設も、当面の間は全面休館でしょう。

会社は原則として在宅勤務として、工場などの生産現場は、シフト制を取り入れて3密にならないようなライン配置が必要です。
通勤については、自動車通勤が可能なら、一時的でもよいので自動車通勤を認めるべきです。8割おじさんの言った言葉を思い出して初心に帰って対策を講じるべきでしょう。"
116,12-6,kan*****,"は？
誰のせいでこうなったかわかってんのか？
GoToは問題ないとか言ってたせいだろ"
117,12-7,aki*****,"昨年の経験があるのにも関わらず、
こんな何の進歩もない基本的対処方針しか
打ち出せない政府官邸はもう要らん。

緊急事態なのに、自治体首長からの要請を
受けて検討して、分科会見解を得て、
発出しますというのを、
何時何分にこの手続きがあり…とテレビで
中継する寸劇…
緊急事態も判断できない政府官邸って
何のための組織なんだ…
せめて自分たちで判断できないなら、
自治体首長からの要請があった時点で、
根回しとかせずに分科会招集して、
すぐに閣議決定して緊急事態宣言発出、
提言のできるものを逐次反映する分科会の
小間使いぐらいはこなしてほしい。

政治家だけでなく、
日本の経済学者、エコノミストは、
この一年、存在感がないけど、
存在はしてんのか…

頑張ってるのはエッセンシャルワーカーだけじゃん…"
118,12-8,hai*****,二週間の徹底した外出制限の方が効果は高いだろう。
119,12-9,tss*****,"他人より先に日持ち食料、日用品買い溜めした方がいいよ。
日本の自給率は非常に低いんだからあっという間に品不足。
マスクの時だって普段腐る程店に並んでたのに一気に無くなったでしよ？
食料なんてもっとヤバイと思うよ、外出しなくたって必要なんだから。"
120,12-10,qbn*****,もう政治家たちに任せていいのか。この1年学習していないのか？何を見てきたのか聞きたい。時代は変わったので老人ホームでゆっくりしてほしい。行動力のある若者へバトンタッチするべき。
121,13-1,nop*****,"そもそも国会議員の会食は４人までならオッケーとかバカみたいなこと言うてる人達になんで制限されないかんの
そんなんで緊急事態だと言われて百貨店やら飲食をターゲットにされても説得力もなければ納得もいかない
危機感ないのは議員さん達でしょ、
与党も野党もどっちですよ"
122,13-2,crs*****,"午後8時以降の自粛を徹底するとか言ってるけど、コロナウイルスは人間の都合の良いように、その時間以降に人と接触すれば日中よりも感染拡大しやすいと言うデータでもあるのだろうか。
完全に飲食店をスケープゴートにしてる様にしか見えないが。
小出しにしていても余り意味があるとも思えない。
だったら思い切って、1ヶ月間全国民対象に緊急事態宣言を出して、経済を全てストップする。
仕事や散歩など全ての外出を認めず、認めるのはライフラインに関する仕事をする人のみ、スーパーなど食材の買い出しも週1日だけにするとかやってみなよ。
そしてどのような結果が出ても、二度と緊急事態宣言は出さないとか言ってもらった方がスッキリする。
そうすれば今度感染拡大しても、あそこまで外出禁止を求めても無理だったからと言う大義名分もたつしね。
ズルズルやるのが一番良くない。"
123,13-3,5858,"期間がひと月なのは、まぁそんなものだろうと理解出来る
でも業者に応じてこうしろあーしろと言っているのに一貫性がないようにしか感じられない
せっかく緊急事態を出すのに効果は限定的になるようにしか思えない"
124,13-4,....,"時短要請に応じない店の公表と言っているが、その前に菅総理が会食していた問題は無罪放免ですか？
こんな世の中最悪やな。
信頼できない総理の辞任が無ければ、飲食店の時短なんか応じる訳がないわな。
政府の規律を先にしてからルールを作れや。
総理の失態を野ざらしにしていては国民は言う事を聞かないのが現状でしょう。"
125,13-5,sar*****,"つまり、自分たち(政治家)が行かない場所には制限を掛けると…
マジでカスだな。"
126,13-6,sta*****,"今も千ベロは密で盛り上がってたよ
これが一番問題だと思うが"
127,13-7,sit*****,"菅総理になってから、コロナ感染に対しての会議をしているのを初めてみた。
それだけこの政府はコロナ感染に対しての危機を考えていないのだろう。
だから、総理先頭で会食をするわけだ。
経済を立て直すことばかりに目がいって、国民の健康安全は二の次なのだ。
日本人は病気に対してとてもこわがりな人種。勤勉な国民性からルーズな仕事は出来ず、その為には休む事は罪悪感を持つ。
だから感染症に対してはとても恐れを持っているように思う。
コロナ感染怖い病気と国民的に覚えてしまったから、いまさら、それほどでもない病気と叫んでも、遅い。
どうせ緊急時事態宣言を出すならば二週間程は徹底的に人の動きを止める方が良かったのではないか。
政府みたいに楽観的に現在の感染拡大を考えていない人々のほうが多いと思う。だから１ヶ月では押さえ込めないと思う。"
128,13-8,qq5*****,"中途半端な時短営業。日中は放置、制限されない業種は放置。そんなんでコロナ抑制できるか？
国会議員達の会食でクラスター発生したら少しは痛みが分かるのでは無いかと思う。"
129,13-9,doc*****,業務委託で政府を別の人達にやってもらいたい
130,13-10,yur*****,こんな緩い制限で、感染者数を抑えられると本気で思ってるのかな？結局あまり変わりなくて、再延長になってもっと厳しい制限がかかることになる。だっら始めから厳しくすればいいのに！！
131,14-1,har*****,"旅行業、宿泊業、飲食業
首長や世論に「悪」とされ、人の移動がないと職として成り立たず
緊急事態宣言で「死」を宣告された我々
補償を貰えば批判され、平気で業態変えろと言われ
いっその事、倒産して借入は政府に補填して頂き、生活保護受給した方が
経済的に楽になるしココロも楽になれる
今の政府や世論に、もはや抵抗する体力もない
あとは営業権を侵害された事で国家賠償請求ですか･･･
職を選ばなければと言いますが、体力仕事をしてこなかった人間が
建設業や介護職についてケガをすれば、即労災になり
隠せば労災隠しで、下手すれば事業者ごと飛びかねません
みんなもち屋もち屋で必死に生きてるんです
今の日本は、国家自体が、コロナで死ぬかコロナを終息させる事で死ぬか
何れにせよ、「日本死んだ」の１択です
皆さんも明日は我が身
もし明日職場に言ったら、もぬけの殻で張り紙1枚張られてたら･･･と考えて見てください。"
132,14-2,van*****,"最悪のシナリオになるのでは？

このまま菅政権では感染は止められないでしょう！！国民のせいにして、国政は何もしてなかったのですから…

各国がロックダウンしても感染が増えている中、日本は検査数が少なく感染者が少ないと思い込みしてしまった！しかも、トドメのGOTO政策！！

全ての業種が苦しくなるでしょう！
飲食・旅行業は補助する姿勢ですが、他業種は補助しないのですか？？

また、2月7日までと言う期限で抑えられる政策を実施出来るとは考えられません。
緊急事態宣言、果たして効果はないのでは…そうさせたのは政治・政策の失態なのです…
決して国民のせいではありません！！
国民の気の緩みで感染が増えているとは、二度と言わないで頂きたい！！"
133,14-3,tak*****,百貨店とか時短してもお客が来ないのに光熱費、人件費、家賃が発生する。営業してもしなくても緊急事態宣言だしたらどのみち経済は回らないと思う。それなら全部休みにして人の動きを完全に止めるべきだと思う。
134,14-4,wad*****,"時短しても密になるような気がしてならない。
気のせいか？"
135,14-5,xjy*****,発出が明日でその内容が何故前日でも発表されない？余りにも政府の危機管理能力の無さに失望する。危機管理とは万が一何か起こった事を想定してその時にどうしたら良いかを予めに決めておく事では？コロナでかれこれもう1年になるのに一体今まで何やってたの？何も対策を考えて無かったのと同じだよ！自分達の利権ばかりに執着する国会議員ばかりで肝心な仕事をする人がいないと証明したのと一緒です。
136,14-6,pin*****,"PCRに疑問を持たない人が殆ど。PCR検査こそこの騒動の肝だよ。
みんなメディアを信じ過ぎ。自分で自分の首絞めてることに気付こう。"
137,14-7,for*****,"本当に短期間でおさえるなら
スーパードラッグストアとかも時短要請した方が。

働いている従業員の方々のリスクが
高すぎる"
138,14-8,she*****,百貨店はスーパーと違い毎日の買い物には必要ありません。今、百貨店に行くのは高齢者ばかりで混んでいます。高齢者がコロナ感染しないためにも百貨店は早く閉めるべきです。
139,14-9,nis*****,必要なのは期限ではなく、どういう状況になったら、という具体的な数値では？　それだと解除できなくなってしまうから？　総合的・俯瞰的に判断したいから？
140,14-10,bea*****,"危機感のない政府の要請
時間を制限したとこで大きく
変わるとは思えない
経済を動かすのは重要だが
感染者は減らない

この感染者の状況を踏まえると
中途半端な緊急事態宣言では
状況は変わらない"
141,15-1,#,４都県だけでなく、もう全都道府県に出すレベルではないのか。宣言の終わりを期日で決めるのではなく、実効生産性指数で決めるべき。
142,15-2,syo*****,半年間、外出は一切禁止。食料の買い出しだけは週に1回、3時間以内。コンビニとスーパー以外の施設は全て閉鎖で。
143,15-3,正論男,"緊急事態宣言をするのはいいのですが全てさらけ出してください
死因コロナと書くとお金が入る
PCRの検査を厳しくしたったウイルス５匹いるだけで陽性にする
都政は今まで何をしていたのか
など疑問ばかりが残ります
実際亡くなった数は3600人くらいですがお餅を喉につまらせて死ぬのは3000人
コロナで死ぬ人の平均寿命は70代中盤でほぼ寿命と変わらないなど本当に緊急事態宣言必要ですか？

都道府県のトップがしっかり要請を出してやればできるんではないですか？"
144,15-4,rmd*****,"東京五輪は世界の感染状況 新種株コロナ拡大
から考えて不可能に近い
練習している世界の選手の気持ちはいかほど"
145,15-5,re1*****,またしても、自分たちの政策の失敗のつけを国民に払わせるつもりのようだ。こんな政権に、わたしたちはいつまで我慢するいいんだろう。飲食店の皆さん、もう我慢する必要ないですよ。このコロナ問題が終息に向かわず、さらに増得ているのは、自民党の政策の失敗のせいだよ。このまま、増えていっていいんじゃないか。オリンピックもやらなくて済む。自分たちの責任だよね。
146,15-6,Lapido,"１日の陽性者数２桁が目標とか具体的に目標値を設定した方が良いと思う。

何の根拠も目標も無い1ヶ月という期間より具体的な数字を出した方が国民も対応しやすいと思う。

オリンピックを本気で開催したいなら具体的な目標を示し、国民に協力を求めるべき。"
147,15-7,czk*****,"デパートについては、時短もさることながら[入場制限]が効果が大きいと思いますが。
夕方のお惣菜売場の混雑は、端からみたら[かなり危ない混雑]に見える。"
148,15-8,m3s****,内容が中途半端だと、時短の店が泣きを見るだけで、結局感染者はあまり減らなさそう。
