,number,日付,ユーザー名,コメント
33,4-3,2時間前,mine,"月曜日の過去最多を更新し、新規陽性者数の7日間移動平均は615.4人と増え続いている。
昨日現在の入院・療養者数は6,078人と6,000人を超え、入院者数2,107人の実質的な病床使用率は9割超と医療提供体制の逼迫は危機状況にある。
入院・療養等調整中の1,327人もの新規陽性者が入院か宿泊療養、自宅療養の決定待ちで自宅待機になっている。
様々な問題点が指摘される自宅療養は1,502人にのぼるのに対し、宿泊療養ホテルへ入所する宿泊療養者は939人で稼働は5割に満たない。
調整を司る保健所機能も逼迫しているのは明らかで、昨日判明した広島での悲劇的な「事件」は他人事ではなくなる。"
34,4-4,2時間前,ピエロ,"重症患者が３人減ったのは、
回復したのか？亡くなったのか？

どちらですか？"
35,4-5,2時間前,kmf*****,"無為無策で感染野放し。世論のダメだしでＧＯＴＯは一時停止したが医療は崩壊状態のまま。
緊急事態宣言を出さないなら、ＰＣＲ検査を大幅に拡充し、無症状者を含む感染者の検出と隔離しかない。

菅のコロナ対策は経済対策しかない。菅は、(竹槍の)３密回避とマスクと手洗いの自助を強いるだけ。
今からでも公助の検査体制と医療体制の整備を実施し、最低でも検査と発熱外来の難民をなくせ。

特に日本は検査数が圧倒的に少ない。
日本は検査能力７.５万件／日、アメリカ１２０万件／日、中国４８４万件／日。
人口あたりの実施件数は世界で１５１位、最貧国レベル。

バイデンは「全国民に、無料で、定期的に」と、検査体制の一段の拡充を進める。

中国は、桁違いのＰＣＲ検査で感染の封じ込めに成功し経済も順調に回復している。青島は１０月に９４０万人を、北京は６月に１千万人を検査した。

一方、台湾の累積死者数はわずか７人だ。"
36,4-6,2時間前,むむむ,だから毎日何百人も陽性者増えてるけど、重症者とか変わってないでしょ。。もう、みんなは何を恐れているの？？
37,4-7,2時間前,kur*****,"何か起こってから対策では遅すぎる
警察と同じならいらんのよ"
38,4-8,2時間前,tos*****,"感染者という学者の決めた係数しだいでどうにでも変動する数字に踊らされている人が多いですが見るべきは死者重症者数であってこの時期としては別に多くないです。
しかし自粛に起因する自殺者は爆増しているので本当に恐ろしい殺人ウイルスは自粛やロックダウンを政府に訴える人々のことだと言えるでしょう。"
39,4-9,2時間前,cn******,濃厚接触者じゃないと言うだけで保健所から門前払いにされる人が多いのにこの数とは
40,4-10,2時間前,ike*****,住みづらい街になってきたなぁ。年末は一斉に首都圏脱出やな。地方が大変だ。
41,5-1,2時間前,shi*****,"とにかく、いかに、重篤化の患者を出さないか、ですが、基礎疾患の問題はありますよね。
なんの病気なのでしょうか。
糖尿病の方が多いですよね。
私の家族にも、基礎疾患を持っている人がいますが、以前から、食べ過ぎの二型糖尿病、タバコの吸い過ぎの肺癌　と、どうなんでしょうね。
こういう人は、何度、注意されても、直さない、やめないから、病気になったんですよね。
それで、今回も、手洗いはして、でもしないから。忘年会はダメだよ、と何度、注意されても、やるんですよ。　だから、生活習慣病にもなるし、コロナにもなりますよね。
まー、注意を聞き入れる事が出来ない精神の病気と言われれば、それまでですが。
友人に、医療従事者もいますし、夫婦でレストランを経営している方もいます。
もう、これ以上のコロナ拡大も困りますし、これ以上、経済が壊滅的、再生不可能な状態になる事も困りますよ。"
42,5-2,2時間前,∗∗∗∗∗,"変異種国内未確認、だが、明日はわからない、という緊張感ある一言がほしい。

医療関係者、これだけ叫んでるのに、国政はのろのろ。
崩壊の危機にあるなかで、国会議員は治療後回し！とか宣言したら、意識変わりそう。"
43,5-3,2時間前,tgmv****,"早く海外からの入国を止めないと、
『コロナの変異種を国内で確認しました』では遅いんですが
何回同じミスヲ繰り返すんですかね？
頼りない集団ですわ。。"
44,5-4,2時間前,**,"あれ？
ちょっと少なめ？
頭打ちの傾向？

やっぱりGoToだったんだな"
45,5-5,2時間前,pon*****,"4月の緊急事態宣言で感染のピークを遅らせつつ次のピークまでに医療体制の強化をするという方針だった。
なのに半年間、政府は医療強化政策を全くやらず、全てを医療現場任せにしてしまった。
支援のない医療現場は疲弊するばかりで、いまや各地で医療崩壊寸前といわれている。
まったくもって、政府の人災だと思います。"
46,5-6,2時間前,俺の彼女が北欧出身です。留学生やで。,"菅政権のこれまで
11/20頃〜日本医師会、東京都医師会、分科会の尾身会長など専門家がGoToの一時中断を再三訴えるも、無視し続ける
12/3 GoToを来年6月まで延長する方針を固める
12/4 野党の質問が苦手だから国会はさっさと閉会
12/4 やっと初めての総理記者会見を開くも、原稿を棒読み、コロナの件には殆ど触れず、記者の質問には聞き飽きたフレーズを壊れたレコードのように繰り返す
12/11 みなさんこんにちは、ガースーです、GoTo停止は考えていません
12/12 世論調査で内閣支持率40%に急落
12/14 支持率低下に焦ってやっとGoToの全国一斉停止を発表、しかし停止期間は12/28〜、事業者には旅行代金の50％を税金で補償
12/14 高齢者8人で銀座の高級ステーキ店で忘年会を楽しむ
12/16 会食をではなく国民に誤解を招いたことを反省
以上、完全に人災だと思う。"
47,5-7,2時間前,dyn*****,見出し命
48,5-8,2時間前,モーリス,"今週木曜日が怖いな
重い方の人数は増えてないように見えるが、そうでないのだろう"
49,5-9,2時間前,hun*****,近いうちに1日1000人以上を記録しそうですね
50,5-10,2時間前,str*****,"来年こそは楽しく明るい年にする為に今は我慢時じゃないかな？
オリンピック開催やGW、夏には祭りや花火大会、キャンプやBBQに海、プール！
みんなで予防を徹底的にし不要な外出や3蜜を避ければ不可能ではないハズ、そーすれば医療への負担も減るしコロナも終息すれば去年までの普通の日常がおくれる。
そんな当たり前で普通の平和な日々をみんなで取り戻しましょーよ！！"
51,6-1,2時間前,mih*****,"だいぶん減ってきましたねえ　泣
でも、もうすぐクリスマスとお正月です。みんな外出して経済を活性化させましょう！
そうすればまた、感染は"
52,6-2,2時間前,nis*****,"コロナで始まりコロナで終わった2020年でしたね。
皮肉なことにこのコロナは日本社会の、もっと言うと日本の政治の問題点を浮き彫りにしたように思う。
政治に頼る時代はもう終わりましたね。"
53,6-3,2時間前,nam*****,"時期が時期だし人出てるし…
仕方ないでは片付けてられないけど、仕方ない…"
54,6-4,2時間前,mac*****,"当然の結果だなという印象です。
毎日重症者数の増減を見る度、重症者の方が回復したから「前日から3人減った」なのか、お亡くなりになったのか、どっちかなと思ってしまいます。"
55,6-5,2時間前,pea*****,ガースーが8人で会食したせいもあるが、入国制限して下さい。
56,6-6,2時間前,aki*****,"人間の心理からいってこの感染者数をみて減ってると気が緩んだりしてしまうのかなぁと、、、

むしろ知りたい国民は、感染者数は厚労省ホームページで閲覧しないと把握できないようメディア規制して緊張感高めて様子見てみるとかはいかがでしょう？"
57,6-7,2時間前,gnr*****,"死者数は公表できないのかね？
重症者が減ってると言っても回復して減ったのか、それとも亡くなって減ったのかで全然違うと思うのだが。"
58,6-8,2時間前,nik*****,"こういう状況にも関わらず、あれこれ己に都合の良い理由を見つけて、観光地、繁華街、行楽地に出かけている老若男女。

この人達全員、コロナに罹患して欲しい。

正直者が損してはならない。"
59,6-9,2時間前,chy*****,格安PCR陽性者から回ってきたから増えてるのか知りたい。
60,6-10,2時間前,man*****,"とうとう月曜日のマジックですら感染増を抑えきれなくなってきたな
ちなみに今でも検査絞りまくり。職場の人間が陽性になった程度ではPCR検査拒否されます"
61,7-1,2時間前,寿司喰いねぇ♪,"日曜日も仕事のため仕方無く都心に通ってるけど、まあ賑やか。コロナなんて遠い世界の話だね。池袋のマックなんて店の外まで客の行列出来てたよ。
この国政府だけじゃなくて国民もダメだ。"
62,7-2,2時間前,cho*****,"日本の検疫は緩い。隔離も一切してないのに、ビジネス客どんどん日本に入国してる。しかも感染者もいるのにこの辺一切報道してない。

「視聴率取れないから」だって。ばかかっつーの。"
63,7-3,2時間前,yus*****,"政府はどのような対策を行うのか。
楽しみですね。"
64,7-4,2時間前,ab,今週の陽性数がどうなるか。政策を推し進めた自民党幹部への忖度で全面中止に踏み切れず、ぬるぬる一時停止や延期という形を取るつもりなのでしょうが、GOTO規制だけでなく、欧州型コロナ変異種が猛威を奮っているので、早急に入国制限措置を取って欲しいですね。
65,7-5,2時間前,ttt*****,"ジャンジャン経済回せ〜!!

貧困ほど辛いものはないから!!"
66,7-6,2時間前,tun*****,"重傷者が減ったというのは…
症状が軽快へ向かったということ？
残念ながら亡くなったもいうこと？
そこが知りたいです。"
67,7-7,2時間前,coccoc,"毎週繰り広げられる、月曜だから劇。

そろそろ重症者とかそういう数字に置き換えて発表してほしい"
68,7-8,2時間前,mon*****,どこでもマスクせずに喋り続ける外人の流入を止めねば。できればみなお引き取り願いたい。まずは日本人の命を守ることよ
69,7-9,2時間前,aka*****,"いつも思うのですが、PCR検査を受けた人の人数に対して、何人が感染してるって出さないのかなー？
検査数があがれば感染者もふえるわけだし、今日は何人でしたー、増えたねー減ったねーで一喜一憂してるのはどーかな？"
70,7-10,2時間前,rad*****,朝日ほんとにえげつない。煽りたい、国民を恐怖に陥れたい会社。ホントにこんなところの新聞を取ったらいけない。過去一番にはならないので、月曜日では最高というあくどい表現。おいおい、そんなこと言っていたら、いつまでたっても過去最高を連発出来てしまう。本当にこんな会社のニュースを見たらいけないと思う。
71,8-1,2時間前,gd3*****,早く指定感染症外してくれよ。
72,8-2,2時間前,azg*****,3人減ったのはお亡くなりになったからではないですか？ちゃんと仕事しよーね。
73,8-3,2時間前,k*****,"複数人での会食が感染源になってそう。
喋るだけじゃなくて飛沫のかかったであろう物を食べるから感染率は上がるよね。
GOTOイートはテイクアウトのみに適用すれば良いのにと思ってました。"
74,8-4,1時間前,n18*****,僕は月曜日によく下痢になります。
75,8-5,1時間前,gt.*******,"月曜日は毎週300で高止まりだったが1.3倍に
単純計算今週合計5000人いきそう
18日にGoTo中止したが効果がでるのは3週間後"
76,8-6,1時間前,kon*****,"月曜、過去最多！終わったな！
間違いなく東京も医療崩壊まっしぐら、広島であったような自宅待機やホテル待機での死者が出ない事を祈る

正に、神のみぞ知る！"
77,8-7,1時間前,kon,"減ってるな！オッケーオッケー！
遊びに行くか！"
78,8-8,1時間前,sek*****,"コロナ変異種で更なる感染を防ぐ為にも
海外からの入国制限をした方がいい
未確認って呑気な事を言って無いで
早急に対策して頂きたい"
79,8-9,1時間前,********,スガに二階にオリンピックに国民は殺される！
80,8-10,1時間前,ダメだこりゃ,"高止まりではなく増加中。
加藤、西村の緊張感のない面は見たくない。
ましてや菅の腐った魚の目はもっとだ"
81,9-1,1時間前,,"いつも思うのですが、重症者が減った理由を書いて欲しいです。
回復して減ったのなら朗報なのですが……。"
82,9-2,1時間前,t_s*****,出た～過去最多
83,9-3,1時間前,月蜻蛉,重症者が死んだから減ったというのはアリなの??
84,9-4,1時間前,happyhappy,正月明けの数字が一番恐ろしい。年末年始はほとんどの医療機関が休みになるわけだから
85,9-5,1時間前,ken*****,３人減ったのは死んだのか改善したのかでだいぶ違う
86,9-6,1時間前,mqw*****,小池都知事さん、重症者数が3名減となったのは、快方に向かった人？と亡くなった人？のどちらかの発表が必要ではないですか？
87,9-7,1時間前,win*****,"「前日から3人減った」
軽症になったのかそうでないのか。。"
88,9-8,1時間前,gon*****,"月曜日で392人なら少し落ち着いたのかとも思いますが・・・。
とにかく宴会禁止で年末年始は過ごしていただきたい。"
89,9-9,1時間前,ite*****,これって曜日毎に全部「最多」とか書くの？それで1月になったら「1月の月曜日としては最多」とか？そんな報道必要なんだろうか？目を引く文言を書きたいだけじゃないの？うざいよ。
90,9-10,1時間前,tak*****,"東京なら1日1,000人感染した場合、都民全員が感染するのはわずか38年ですね。"
91,10-1,1時間前,hir*****,重傷者減っているのにみだしは６３人重傷感染みたい。煽り記事
92,10-2,1時間前,new*****,"政府の新型コロナウイルス対策を根本的に見直すべきでは？

適切な政策が提示されれば国民も納得、共感して積極的に協力対応する。

菅は責任を感じる、しっかり対応したい等の感想しか述べていない。加えて支離滅裂な焼肉会食。主体性ない人間に国を任せることは出来ない。

菅や西村は辞任して責任を取るべきでは？"
93,10-3,1時間前,gjm,重症者が減っているとやはりホッとしますね。
94,10-4,1時間前,jaz*****,"どうして「初詣は自粛して」と言わないの？
神社本庁が認めないの？"
95,10-5,1時間前,bot*****,"普通の感覚からすれば外出躊躇うかなと。
イベント、イルミネーション等を楽しみ、会食する。これはコロナ禍でする事ではないのではないかな。地方が感染少ないのは田舎だからじゃない。数少ない楽しみさえも自粛してるのです。
若者は患っても軽症だから怖いもの無しなのかもしれませんね。"
96,10-6,1時間前,hir*****,"政府の失態ばかり責められないぞ。
何だあの人出は。
何も考えていないのか。

年末年始がほんとうに思いやられる。
ボーーっとして飲んだくれ歩いているんじゃないぞ！"
97,10-7,1時間前,fra*****,ただの風邪。減っているし
98,10-8,1時間前,yss*****,"東京五輪はやめた方がよいですね。
選手、関係者のためにも早期に決定した方がいいと思います。"
99,10-9,1時間前,rps*****,事実なんだろうが、とにかく〜日連続、とか、過去最高とかの見出しつけたがるね。
100,10-10,1時間前,ks2*****,落ちるとこまで落ちるだろうな。日本も欧米みたいにそれなりに死ぬ人出てくるだろう
101,11-1,1時間前,,減った重症者＝死亡者ってこともあるわけで、必ずしも回復したわけではない。
102,11-2,1時間前,グアテリンガ,"イギリスの突然変異型対策、今日1日で動き無し・・・会食する暇があるなら、入国制限を強化する手続きを進めてくれよ

イギリス人は入国拒否対象とは言え、英国帰りの日本人は自宅隔離＝誰も監視しないですよ・・・"
103,11-3,1時間前,mur*****,">>都内では感染拡大が続き、20日までの1週間平均の1日あたりの感染者数は603人となり、初めて600人を超えていた。

ＰＣＲ検査が自宅で可能とテレビＣＭやっている昨今、半年前との比較とかは全くあてにならん。検査数に対する陽性者数を報道してくれ。"
104,11-4,1時間前,igo*****,"単純にもうかなり保菌者が広がっているという事実を伝えているだけです。
この事実を受け入れて、2類相当を外し、5類に落として、現実的な医療体制にシフトすればどうでしょうか。まず濃厚接触というだけで活動停止ということはなくなるので、陰性なら医療者も政治家もアスリートも一般人も、生活を継続できる。
陽性者のうち既往症があるとか、症状があれば入院、それ以外はすべて自宅か療養施設（これも医師常駐でなくせば逼迫は緩くなる）。
インフルエンザと同じ扱いをすることで、重症者への治療に注力できるはずです。"
105,11-5,1時間前,San,"早急に対策を打たないと通常助かる命も助からず手遅れになります。。

こういう時にデモ以外で何とかして民意を反映できないものか、、
政府の対応の甘さ遅さには嫌気がさします。。"
106,11-6,1時間前,han*****,毎日 エクモの方が減ったとか書いてありますが亡くなったのでは？
107,11-7,1時間前,tra*****,"医療従事者に感謝、感謝とか
言ってるけど
政府は何も思ってないと私は思う。
使い捨てにしそうで医療従事者らが
心配です。こいつら絶対にズル賢いやろし
汚いやり方しそう苦笑"
108,11-8,1時間前,unko man onara Bu!,"総理官邸のご意見ご感想を書く
と検索したら、すぐホームページに飛びます。皆さんの意見を思う存分
ぶつけましょう。"
109,11-9,1時間前,yoy,本気でこの国でウィルスに打ち勝とうと政府は思っているなら、GO TO○○とか、五輪とか言う前にやるべき事に集中して！
110,11-10,1時間前,pla*****,"政府はGoToの年末年始一旦停止で仕事したと思ってるかもしれないけど、
原因がGoToでない以上、日々患者数は増え続ける。
さて今度はなにを悪者に仕立てるんだろうか？"
111,12-1,1時間前,piro*****,"日曜過去最多、月曜過去最多

煽るねー

淡々と事実だけを伝えられんのか。"
112,12-2,1時間前,rrr*****,"最多
最多
感染者の花が････"
113,12-3,1時間前,ore*****,"重症者数とか感染者数より意味がない
亡くなったら減るわけだからね"
114,12-4,1時間前,aaa,"都に１２００万人いるのに５００人だろうが千人だろうが大差ないのでは？
都民生活を犠牲にして対策する必要があるか冷静に考えるべきだ。
もう普通にするのがコロナに立ち向かう正しい戦い方だ。
コロナに対策すること自体が市民生活を破壊し経済死を生み出している。"
115,12-5,1時間前,qfg*****,月曜日最多とは思わなかった。感覚が狂ってきた。
116,12-6,1時間前,yah*****,はっきり言って90歳以上はある程度の治療でいいと思う。若い命を助けた方がいい。
117,12-7,1時間前,lol*****,"国が定める「重症者」の基準は「集中治療室」「人工呼吸器」「人工心肺装置
(ECMO)」大阪は更に「気管挿入」を独自基準として加えている。

比較して報道する場合は東京の勝手に主張する基準を用いるのではなく、
全て国基準で統一すべきである。

国基準とした場合東京重症者は300人程度とも言われている。
首都の状況を国全体の共通認識としてリスクを理解させるべき。

その為にも正確な数字の公表が絶対必要である。"
118,12-8,1時間前,XO醬,すでに年末年始の予約が大量に入ってる飲食店は直前に時短とか言われても無理。つか客の意識も「オタクがやってないなら他行くわ」な感じだから開けざるを得ない。年明け東京の感染者数は1000人を越えるだろうな
119,12-9,1時間前,hik*****,"皆、どうしちゃったんだろう。
飽きたから自粛しない？重症者は年寄りが多いし経済回すために自粛しない？
皆自分の両親はだいたいが40代50代60代だろう。
その両親や祖父母がコロナになっても、たらい回しにされた挙げ句急死する可能性は低くない。
こんな状況では経済はいくらやっても回らないのだよ。
回したければ、今は自粛して落ち着かせないとならない。
政府はお金妖怪ばかりだが、私達国民はあんなにバカじゃないはず。
週末、イルミネーション見に騒いでる場合じゃない。
飲みに行ってる場合じゃない。
皆、しっかりしようよ。"
120,12-10,1時間前,kid*****,重症者は順調に減ってるね！
121,13-1,1時間前,,"GoTo関係ない事が証明されてますからね。
だから減る要素がないから減ってないんですよ（笑）"
122,13-2,1時間前,tos*****,なんで昨日よりも減って良かったと言うふうに言えずに、煽りばかりするのか？
123,13-3,1時間前,uta*****,"毎日、飽きもせず、新たな感染者500人とか800人とか発表されて、それを何の工夫もなく報道しているけど、マスコミの皆さん、飽きませんか?
ばかばかしくなりませんか?

感染者数を何とか政権批判に持って行きたいのでしょうが、支持率は計画通り下がっても野党の支持率が上がりませんね。

これでは、政権交代にならないし、情弱な国民を混乱させるだけですよ。

ここは、毎日報道するのは、東京都と全国の本日の死亡者数と累計だけに絞ったら如何か?

何?
それでは数字が小さくて、政権批判に結びつかないって!!"
124,13-4,1時間前,may*****,"重傷者が減ることは、
死亡したってことで減るの？"
125,13-5,1時間前,na*****,"月曜にこれだと木曜辺りそろそろ千を越えてくるのか。年末年始は引きこもらないとね。
もう医療は逼迫。体調くずしても診てもらえない。"
126,13-6,1時間前,kop*****,"重傷者が減ったのは回復されて減ったのか、亡くなられて減ったのか
どっちなんでしょうか？"
127,13-7,1時間前,京本コレクション,"国民(都民)は我慢も限界という事

飲食店も死活問題、時短要請には不応

今まで散々我慢してきたが、国民にだけ負担我慢を強いて政治家連中は会食だの何だのやりたい放題。

だからもういつも通りの年末年始を過ごさせて頂くことに決めました。"
128,13-8,1時間前,url*****,"民間のPCR検査センターでは陽性率1%～1.5%
世田谷区の介護関係者からは、陽性率1.46%
つまり、東京には無症状感染者が10万人以上はいるということですね。

韓国など他の国は無症状者も検査しての数字。
日本は症状があるか濃厚接触者など制限をかけている。政府お得意の隠ぺい。日本のイメージが悪くなるからなのか、オリンピックが潰れるからなのか。"
129,13-9,1時間前,jwpgam,"いよいよ緊急事態宣言出すぞ！！

みんな、耐えようぜ！

俺ってかっこいい"
130,13-10,1時間前,koh*****,"春先は、人が集まらないようにせっかく
咲いた花などを刈り取ってしまうことが
あったが、クリスマスイルミネーションは
自粛しないところも多い。
全ての人がゆるんでいる証。
医療従事者のはりつめていた我慢の糸が
プッツンと切れてしまいそう。"
131,14-1,1時間前,ken*****,"退院者数
44,802

12／21現在

こちらもすごい数だ"
132,14-2,1時間前,iti*****,"感染者数はもういいでしょ。
自粛が大事とか言ってる人も絶対外に出ない人以外みんな同じだし。

コロナはインフルと同じ扱いにしよー"
133,14-3,1時間前,rlv*****,"マスクに意味無い
アホくさ"
