,number,ユーザー名,コメント
59,6-9,ame*****,（文頭）減らし過ぎやろww（文末）
60,6-10,mit*****,（文頭）これを見ると、主たる感染源はやっぱり夜のお酒関係だと思わざるを得ないね。（文末）
61,7-1,mon*****,"（文頭）まもなく春節です。


そういう事ですね。
はんかくせぇ（文末）"
62,7-2,vys*****,（文頭）すげえみんな頑張ってるなぁ。引き続き都民がんばれ！（文末）
63,7-3,握りたてのお寿司食べたい,"（文頭）ゆるい施策で減るわけないと思います。
テレワーク増えてます？
電車空いてます？
ランチやフードコート人減ってます？
不要不急の外出はしてません？

減ってるように見えるのは別の理由があるはずです。（文末）"
64,7-4,bag*****,"（文頭）減った、減った♪
宴会じゃ！♪
ってのは後数ヶ月は控えましょうね。（文末）"
65,7-5,ucp*****,（文頭）情報操作でないことだけを祈ります。（文末）
66,7-6,wum*****,（文頭）そりゃあ、検査数少なくしたら減りますよ）（文末）
67,7-7,ma,（文頭）こんなに減るもんか！？何故か違和感は拭えない…（文末）
68,7-8,こんた,（文頭）如実に減ってきましたな。やっぱ宣言と制限は効果ある。延長すべき。（文末）
69,7-9,ken*****,"（文頭）もっと少なくできるように頑張っていきましょう。
飲食さえやめればここまで減るのか。飲食店いらないな。（文末）"
70,7-10,axz*****,（文頭）何か少なすぎませんか??（文末）
71,8-1,ryo*****,（文頭）感染者の数だけ数えるテレビニュースはもう信じられない。（文末）
72,8-2,phv*****,（文頭）絶対に操作されてる。（文末）
73,8-3,jin*****,"（文頭）陽性者数は順調に降下していますね。

ですが、ワイドショーなんかは、
「油断すると海外のようになってしまう！」「医療崩壊が起きる！」
と未だに不安を煽っているのでしょう。
、
『飲食店が20時まで』しか営業していないことが本当に効果があったと思っているんでしょうか？
本当に日本国民が今回の「緊急事態宣言」に意味があったと思っているのでしょうか？

今の日本社会が行っていることはGoToの時と同じです。
『原因をわざわざ探しているだけ』です。

冬になれば風邪を引く人が増えて、それによって亡くなる人も増える。
暖かくなれば風邪を引く人も減る。

今まで、何十年と当たり前だったことです。
そのことを受け入れるようになるのは何年後になるのでしょうか？（文末）"
74,8-4,ckm*****,（文頭）本当か？（文末）
75,8-5,k*******,（文頭）この数字を見てバンザイとは言えないよな。市中感染、エアロゾル、変異株、とまだまだ不安因子は多いのに。検査はやっているかもしれないが、対象者を絞っては無症状者を含めた実態が捉えられないはずではないか？これで宣言解除も大丈夫とは思えない。（文末）
76,8-6,avfrom,（文頭）数値操作してんじゃねーよ（文末）
77,8-7,fis*****,（文頭）東京都は２２日、新型コロナウイルスの感染拡大に伴い、濃厚接触者などを調べる「積極的疫学調査」の規模を縮小する方針を都内の各保健所に通知した。（文末）
78,8-8,mmg*****,（文頭）月曜日だけど…少な過ぎ怪しい！（文末）
79,8-9,zov*****,（文頭）今日にでも、緊急事態宣言を解除して良さそうだ！（文末）
80,8-10,(๑˃̵ᴗ˂̵),（文頭）この減り方、やっぱり誰かの意思入れがされてる気がする。（文末）
81,9-1,nag*****,（文頭）母数なしの数字遊びやめい。（文末）
82,9-2,中年一番星,（文頭）減った気がする（文末）
83,9-3,swr*****,（文頭）元々月曜は感染者が少ない傾向ですが…。こんなに少なくなりますかね。でも、医療体制が改善するまでは少なくとも緊急事態宣言は解除してはダメだと思います。（文末）
84,9-4,adm*****,"（文頭）感染者が純減していますが、おそらく「月曜日だから」「検査を絞ったから」というコメントがあふれるでしょう。
とはいえ、確実に重症者数は減っているので（ここはさすがに騙せないかと）、何だかんだいっても個々の努力の賜物だと思います（強制力や私権の制限で抑え込めない中、経済をすり減らしながら頑張っているのではないでしょうか）。（文末）"
85,9-5,kag*****,"（文頭）減りすぎじゃない？

いや、減らし過ぎか？（笑）（文末）"
86,9-6,cus*****,（文頭）飲食店の時短営業夜8時までをしているが、これが根本的に新規感染者を増える原因だとすると、飲食店は全滅になりますよ。（文末）
87,9-7,onn*****,（文頭）少なっ（文末）
88,9-8,日本人でよかった(*^-^),（文頭）オリンピックしたいがために、感染者数の操作はやめろ！（文末）
89,9-9,usu*****,（文頭）普通にみんな出歩いてるけど（文末）
90,9-10,tur*****,"（文頭）ウソつけ、コノヤロー！

って、言いたくなる数字。（文末）"
91,10-1,syo*****,"（文頭）すくなっ。
1万人は？
2月は連休あるので、
3月だね。（文末）"
92,10-2,gra*****,（文頭）はい解除（文末）
93,10-3,huk*****,"（文頭）7日、一斉解除
ゴートゥー（文末）"
94,10-4,ari*****,（文頭）検査数へらした？笑笑（文末）
95,10-5,pla*****,"（文頭）単純に検査数が減っている可能性もあるので、前日との陽性率の変化で判断したいところだ。
何でマスコミは陽性率については報道しないのだろう？（文末）"
96,10-6,gym*****,（文頭）濃厚接触者追ってないから減るの当たり前じのないか（文末）
97,10-7,F,"（文頭）えっ
ほんとにこんな減った？のが正直な感想。
極端に減ったなぁ（文末）"
98,10-8,plk*****,"（文頭）ぶっちゃけ気味悪い。
オリンピックをやるために操作してる感がして。（文末）"
99,10-9,zop*****,（文頭）はい、操作してる。（文末）
100,10-10,kiy*****,（文頭）早くコロナから解放されたい！（文末）
101,11-1,o9o*****,（文頭）見せかけだけの数字。濃厚接触者を何故追わなくなったの？？（文末）
102,11-2,nor*****,（文頭）良し!このまま減らそう!（文末）
103,11-3,繼焦,（文頭）検査数、減らしてない？（文末）
104,11-4,yu_*****,"（文頭）検査数減らしているだけじゃないんですか？
もうなにも信用できない。（文末）"
105,11-5,elmejor,"（文頭）2月に入って解除したいし
補償もしたくないし
少ない数にしてきたね
白々しいくらい（文末）"
106,11-6,gfo*****,"（文頭）落ち着いてもgo to eatは、やめてね。
飲み会とかやっぱりダメなんだよ。
通勤のみでは、感染しないよ。（文末）"
107,11-7,yll*****,（文頭）日曜日の結果とはいえ減り方が異常な気がしてちょっと怖い(-｡-;（文末）
108,11-8,kaw*****,（文頭）緊急事態宣言の延長は必要ないだろ（文末）
109,11-9,お腹痛い,（文頭）減ってる（文末）
110,11-10,trs*****,（文頭）都合よく調整しているだけにしか思えません。（文末）
111,12-1,mgw*****,（文頭）やったー（文末）
112,12-2,fuj*****,（文頭）飲食店にカネやらない方法とはロックダウンしかないじゃんね？（文末）
113,12-3,w*r*****,（文頭）嘘こけ（文末）
114,12-4,無名のミステリーショッパー,（文頭）393人てホンマ？（文末）
115,12-5,h_i*****,（文頭）検査数も伝えるべき！（文末）
116,12-6,bes*****,"（文頭）検査数減らせばそうなるよな。検査数推移見てみろよ。笑っちまうぜ。
濃厚接触者追わないって、コロナ対策は諦めたと思っても良いんだよね？お偉いさん。（文末）"
117,12-7,zzz*****,（文頭）いつもの月曜日だからね。（文末）
118,12-8,suf*****,"（文頭）減少傾向は喜ばしい。
もうひと月宣言延長は決まったようなものだから、しっかり減らし切りましょう。（文末）"
119,12-9,roc*****,（文頭）怪しいわ（文末）
120,12-10,hea*****,"（文頭）数が増えているよりは喜ぶべきかもですが、濃厚接触者を追うのをやめていて、それでも埼玉県での英国変異株クラスターでは濃厚接触判定じゃない人が念のためで検査して陽性者になっているので、正直喜べないです。きちっと追って欲しい。
もっといるだろうし、保健所を補強しておくべきだったし…本当に宣言の効果出ているのだろうかと思ってしまう。（文末）"
121,13-1,ysk*****,（文頭）流石にこれは、あからさまに削りすぎたんじゃないですか？(^_^;)（文末）
122,13-2,tmi*****,"（文頭）これでも緊急事態宣言延長は受け入れるしかないのか
補償を下さい、とにかく補償を。（文末）"
123,13-3,ari*****,（文頭）この数字は、真実なのでしょうか？（文末）
124,13-4,ssx*****,"（文頭）緊急事態宣言を解除したいから、少なく報道してんじゃね？
国会議員先生が、キャバクラにいきたいからといって。（文末）"
125,13-5,mo,（文頭）この数字を信じていいのかどうなのか、疑心暗鬼になっている自分がいる。（文末）
126,13-6,rhy*****,（文頭）減り方が明らかに不自然。数字をいじってますね。（文末）
127,13-7,hst*****,（文頭）１２月と１月の感染者は１２月の１9000人から1月は39000人に激増、死亡者数も同様に138人から259人に倍増に近い拡大状況、これでは日々の感染者が減ってきていても感染者数100人未満には相当の時間が必要だ。一か月の緊急事態宣言延長では足りない。本気でゼロを目指すのであれば二か月は覚悟が必要な状況だと思う。（文末）
128,13-8,tak*****,"（文頭）細かい事言い出したらキリないけど、大きな流れとしては減ってきたと理解。

引き続き自粛して、あとはワクチン接種が始まるのを待つしかないか。（文末）"
129,13-9,aig*****,"（文頭）緊急事態宣言以降、感染者数の減少は顕著だね。
ただ、それに比べて重症者数は減らない。
厄介だね。
なにかもうひと案必要なのかな？（文末）"
130,13-10,m_n*****,（文頭）減ってきた事実は喜ぼう。（文末）
131,14-1,vah*****,（文頭）感染者数はともかく、重症者が減ってるのはいいことですね（文末）
132,14-2,pil*****,"（文頭）減り方が明らかにおかしい。
秋葉原のヨドバシなんか見てると！（文末）"
133,14-3,pap*****,"（文頭）オラの自粛の成果だ

やったぜ...（文末）"
134,14-4,wqw*****,（文頭）計画的に減らしてないかなぁ（文末）
135,14-5,api*****,"（文頭）宣言やったから減ってきたねって見えるように操作されてる感
街はほとんど何も変わらない
夜はお店営業減ってるんだろうけど
昼間なんてほんと普通（文末）"
136,14-6,nek*****,"（文頭）なんか一気に減りすぎて、逆に信憑性ない。
嘘くさー…（文末）"
137,14-7,nya*****,（文頭）検査数一緒に公表されないと何も信用できない（文末）
138,14-8,myo*****,"（文頭）例年のインフルも、こうやって飲食店を中心に叩けば何とかなるということだったの・・・？
無駄な飲み会とか、訳の分からない学校行事とか、鼻だしマスクおじさんとか、そういうものをパージすればいいのか（文末）"
139,14-9,mom*****,"（文頭）減らしすぎじゃね？
うちらをバカにしてる？（文末）"
140,14-10,tou*****,"（文頭）昨日からまたもや激減した。
宣言延長するらしいが、１４日間延長で終われるよ。（文末）"
141,15-1,fe2*****,"（文頭）検査数を少なくしてるんでしょ？
急激に減るのは変だわ、（文末）"
142,15-2,aki*****,（文頭）なんかオリンピック開催するために感染者数の操作が行われてるような…そんな気がする。（文末）
143,15-3,上っ面のウラガワ,"（文頭）悪いことでは無いと思うけど、そんなに一気に減るもんですか？
なんか年末からの数字を見ていると、なんか不自然に感じる。気のせいであって欲しいけど。（文末）"
144,15-4,yos*****,（文頭）今までと比べると少ない数だが決して喜んではいけない！（文末）
145,15-5,★,（文頭）濃厚接触者を積極的におってないだけでこの3倍はいると思った方がよさそうですね（文末）
146,15-6,responsibility,（文頭）いいね、素晴らしい傾向だ。（文末）
147,15-7,bur*****,"（文頭）確実に減ってるな！
けど、あと一月延長した方がええな。
ホンマに日本人は優秀な民族やで。（文末）"
148,15-8,pen*****,（文頭）減ったなぁ（文末）
149,15-9,idw*****,"（文頭）激減でよかったやん！
緊急事態宣言解除でええやん。（文末）"
150,15-10,mus*****,"（文頭）緊急事態宣言の効果は間違いなく出ている。
これからが勝負どころだと思うので徹底的な対策をお願いしたい。（文末）"
151,16-1,かい,"（文頭）重症患者が減り続けているのは
素直に喜ばないと。
批判する材料を探しているように思える。（文末）"
152,16-2,his*****,（文頭）感染者がかなり減ったけど，先週と同じく，明日，明後日と感染者は残念ながら増えていくと思う。死者や重症者が増えないで欲しいです。（文末）
153,16-3,hiro*****,（文頭）よかったね。500人以下緊急事態宣言の条件を満たす。（文末）
154,16-4,bar*****,（文頭）ここで気を緩めることなくもう一踏ん張り。（文末）
155,16-5,red*****,（文頭）月曜日で一時的でしょうが、減ってきているのは確かで少し希望も持てます。ただし、オリンピックは論外です。（文末）
156,16-6,○,"（文頭）いくらなんでも急激に減りすぎじゃ…。
どんないじり方をしたらこんな数字出せるのでしょうか。
変異型もどんどん増えていっているのに。。（文末）"
157,16-7,オリ達,"（文頭）なんだかんだで、飲食店の時短が功を奏してるような気はする
こんな事言ったら叩く人もいるんだろうけどさ（笑）（文末）"
158,16-8,aya*****,（文頭）どの時代のパンデミックも変異種が出てきて徐々におさまってきたと聞きました（文末）
159,16-9,cod*****,"（文頭）これは実際感染者減ってるんだろう
重症者もどんどん減ってるし（亡くなってから新たに重症者になる人が減少しているのが原因みたいだが）黙食など新たなコロナ感染対策を国民がやってるのが大きいと思う
油断はできないけど、少し安堵はしてもいいんじゃないかな。（文末）"
160,16-10,tai*****,（文頭）飲食店の夜間営業が癌だったってことか（文末）
161,17-1,kum*****,"（文頭）ピーク時よりは減少傾向なことは確かだと思うが、検査数が少ないし、濃厚接触者を追跡や囲い込みしていないので一喜一憂してはいけない。
まだまだ引き続き警戒。（文末）"
162,17-2,lah*****,（文頭）不思議と減るねー。濃厚接触者を追わなくなった割には陽性率も下降傾向だし。喜ばしいことだけれどホントかな？という気持ちも（文末）
163,17-3,ku*****,"（文頭）コロナの不思議
なぜか月曜日に急激に減る
月曜日に人数調整してるんじゃないかってレベル（文末）"
164,17-4,too*****,"（文頭）よしよし、検査調整が上手く機能しだした。
明日、延長が決まっても１週間で解除だね。
GoToトラベルの準備しなきゃ(^^)（文末）"
165,17-5,林檎剥けなくていいから君振り向いてほしい,"（文頭）急激に減りすぎだな
また油断して外出して月末には四桁いくかもな。（文末）"
166,17-6,s16*****,"（文頭）緊急事態宣言は継続
入国制限は緩和

とかいっちゃうんでしょ？（文末）"
167,17-7,tor*****,（文頭）これ信じる人いるの？どう見ても無理あるでしょ。予想でしかないけど、もし数字いじってたら犯罪なのでは？（文末）
168,17-8,ヒナラー,（文頭）500人を割ったので緊急事態宣言解除お願いします（文末）
169,17-9,com*****,"（文頭）月曜日は一番少ないからなぁ。
減ってるのなら喜ばしいけど減ってる様にしてるのなら問題ありだよね。（文末）"
170,17-10,wjl*****,"（文頭）これ本当？
月曜日にしては激減しすぎではないの？
感染者の数より医療圧迫度合いや重傷者の人数の方が大事な気がしますが…（文末）"
171,18-1,fjs*****,（文頭）重症者減はお亡くなりになったのか中等症になったのかどっちなんだろう（文末）
172,18-2,cbx*****,（文頭）緊急事態宣言の効果があるのは認める、というか減って当たり前。だけど今日は月曜日だし、500人きったから解除するのはまだ早い。もう少しの辛抱ですよ！（文末）
173,18-3,free,（文頭）週明けだから少ない。あとは明日以降増えなければ、緊急事態宣言は成功なんだけど、おそらく倍くらいに戻るんじゃないかな？（文末）
174,18-4,f,（文頭）やり方次第で感染者数なんていくらでも操作できることがこれで分かりましたね。（文末）
175,18-5,matsu**on,（文頭）出掛けてる人が多いのに減ってるじゃんと 安易に捉えてしまう人が出ませんように。いまは病院が逼迫しているし、入院できなくて自宅療養している人も多いです。（文末）
176,18-6,ysk*****,（文頭）疑心暗鬼になりすぎてヤフコメ民くそめんどくさすぎだろ(笑)減ったって事実に素直に喜べや(笑)（文末）
177,18-7,あ,（文頭）じゃあ何でこんなに減ったのに緊急事態宣言は延長するんだろうね。本当に減ったのならやめたらいいのでは？（文末）
178,18-8,net*****,（文頭）さて、解除だ。（笑）（文末）
179,18-9,yhz*****,（文頭）500切ってなんだか凄い怒ってる人が多いですけど大丈夫ですかぁ？？まぁまぁ落ち着きましょ（文末）
180,18-10,mak*****,"（文頭）地方の公共施設や福祉施設のクラスターは増え続けてるけどね。。。
気の緩みを誘うのも、煽るのもメディア（文末）"
181,19-1,gxh*****,（文頭）月曜日とはいえ相当減ったな（文末）
182,19-2,pir*****,"（文頭）素直によくやってると思う。不満も多いと思うけれど、
去年1年間がんばれたんだしもう少し人の動き抑えてがんばっていきましょ（文末）"
183,19-3,dka*****,（文頭）順調に減っているなら喜ばしいけれど、大幅に検査数を減らしたからという、単純な話でないことを願う。（文末）
184,19-4,mok*****,"（文頭）月曜だし、少なくて当然でしょ。
でも政府は、500人以下になったので延長やめてGotoやりますとかいいそうだわ。あいつら、脳内花畑だもん。（文末）"
185,19-5,llv*****,（文頭）減ってる事は素直に嬉しいです！（文末）
186,19-6,gye*****,（文頭）これで東京五輪も安泰！？（文末）
187,19-7,syr*****,（文頭）あからさまに数字をコントロールしているのが分かる。なんて恐ろしい‥（文末）
188,19-8,yam*****,（文頭）減るのはいいけど減りすぎだろ？きちんと言えよ。（文末）
189,19-9,@atpgm,（文頭）また気が緩むきっかけになりそう。（文末）
190,19-10,ayu*****,"（文頭）何故、こんなに減った！！！
怪しいとしか思えん。。。素直に喜べない。
減る要素が無いじゃん。
春節狙い？（文末）"
191,20-1,mat*****,"（文頭）渋谷など毎日通るがそれなりの数の人出である。
月曜日と言えこれでなぜここまで数字が減るのか？

検査数もわからないがこの数字が本当に正しい物なのか不安である。

実際に減っているのあればいいのだが。。。。（文末）"
192,20-2,gar*****,"（文頭）一気に下がったように見えるけど、土日は検査数少ないだろうから油断しない。
陽性者の数だけじゃなく検査数も公表して欲しい。
前とは積極的やる検査対象も変わってる訳だし、陽性者数だけなんて明確な指標にならない。（文末）"
193,20-3,kou*****,"（文頭）一番少なくなる月曜日とは言え、良い減り方をしている。
先週日曜日とほぼ同じだから、このまま行けば来週には一日平均で500人以下になるんじゃないかな。
一ヶ月の延長はMAXで、何とかプラス二週間くらいで解除したいところ。（文末）"
194,20-4,yva*****,（文頭）少なくみつもってるかも（文末）
195,20-5,mpe*****,（文頭）まあ無邪気には喜べないし、まだまだ気は緩められないけど、とりあえずここまでよく頑張ったな、ってお互いを褒めようぜ。なんでも批判では疲れてしまうよ。（文末）
196,20-6,kat*****,（文頭）小池またまた言うよ。五百人下回ったと私のやり方が功をそうしたと。今までに感染者、亡くなった人はどうなるのかなあ？うまれかわらないんだけど。責任は？あ、な、た（文末）
197,20-7,toma@,（文頭）ウリャ！500切ったぞ！緊急事態宣言解除しろや！（文末）
198,20-8,eno*****,"（文頭）緊急事態宣言延長するんだから、正直な数字出したら？
今までと変わらない生活でここまで減るわけないでしょ？（文末）"
199,20-9,the*****,（文頭）検査数減らしてる？（文末）
200,20-10,……,"（文頭）まあ今日だけの数字見て、
一喜一憂する事はないわな。。（文末）"
201,21-1,wjm*****,"（文頭）これはスゴいですね

医療関係者の皆様、国民の皆さん、政府と自治体の苦労している皆さんありがとうございます

立憲と共産は壊滅して欲しいです（文末）"
202,21-2,shu*****,（文頭）かなり減ったように見えるが、実際はどうなんだろうか。明日緊急事態宣言延長はしょうがないだろうけど、先がまだ見えない（文末）
203,21-3,e_d*****,"（文頭）この数、絶対ウソですから。

本当に気を引き締めましょう。

月曜日は少ないけど、ありえない。（文末）"
204,21-4,awa*****,（文頭）頑張れ！東京！（文末）
