,number,ユーザー名,コメント
40,4-10,tar*****,そろそろ補償の財源にも言及して欲しいな。年金削減と公的医療費負担の引き上げだろうね。受益者負担の原則にもかなうしね。選挙の時に、票を失う勇気があればだけど、できるかな。
41,5-1,hrv*****,福岡も追加よろしく〜
42,5-2,aya*****,政府後手後手だな
43,5-3,ゆーかり,"で、いつからいつまで発令すんの?
早くそれを発表してくれないか"
44,5-4,kec*****,"これが政治家の言う先手、先手です。
一般的人には後手、後手ですね。"
45,5-5,fre*****,定額給付金再給付の話は？
46,5-6,wva*****,また愛知はハブられたのか
47,5-7,mas*****,"仕方ないから今回はここまで。
みたいな小出し感が否めない。"
48,5-8,mad*****,"ごめんなさい
もううんざりです"
49,5-9,hid*****,全国に緊急事態宣言出してください
50,5-10,taw・・・・,全国で検討しろ！
51,6-1,ich*****,遅い！！遅い！！本当に遅い！！
52,6-2,ujk*****,"遅いんだよ。
ただ、何もしないよりかはまし。
ただ、それだけ。"
53,6-3,but*****,感染してる外国人がウロウロしてるのはテロと同じですよ。早く捕まえて下さい。
54,6-4,iku*****,全国でしょ？
55,6-5,aba*****,"遅い！
けどやっと動いた！
可能なら給付金を下さい。
そーすれば支持率は上がります。一瞬"
56,6-6,co******,緊急事態宣言を出す基準はなんなんでしょう。もう、言われたらやる言われたら考える。この人自分の考えはないんですかね。最初から資料にばかり目をやる人だとは思ってましたが、、、
57,6-7,wae*****,"相変わらず後手後手対応ですね。
先手先手はどうしたんですか？
2Fのご機嫌伺いに時間を要した様ですね。"
58,6-8,kok*****,こんな小出しにするやり方ならいっそう全国統一で宣言した方がいいのでは？でないと宣言がない所へ人がなだれ込むよ。
59,6-9,edu*****,ここまで来たら何やってもダメな感じしかしない。結局は個々の行動が大事ですね。
60,6-10,okada,中韓いれるな！
61,7-1,nkf*****,"遅い。

何をするのも後手後手で とにかく 遅い。
そして 中途半端だから、全く間に合っていない。"
62,7-2,simkoolw,"後手後手だな
夏から今まで何してたのかな？"
63,7-3,rkb*****,"8時までという時間制限に、8時までなら大丈夫という安心感があると感じる人は少なからずいるのではないかと思う…。
小出しにするのではなく、全国一斉にやらないと抑え切れないのでは？"
64,7-4,STF,果たして感染者の減少に至るかどうか。
65,7-5,ara*****,吉村知事達がお願いした時は保留にしたのに、舌の根も乾かない内に宣言って。どれだけ後手後手にしたら気が済むの？怒りさえ感じます！
66,7-6,yos*****,"問題は内容ですね。
厳しいものにしてほしい。"
67,7-7,ma*****,大型店の休業等くらいは要請しないと。
68,7-8,sad*****,"全国を緊急事態宣言だして
知事の裁量で規制判断させたら！"
69,7-9,h44*****,日本沈没
70,7-10,yzo*****,いかにも責任を逃れたい人が取りがちな行動スピード。先送り、小出し、他の人がこう言ったから。緊急事態を感じられない。
71,8-1,sag*****,今こそ、第二回目の特別定額給付金を出す時！だと思えて仕方ない。
72,8-2,qng*****,"都道府県も今は大丈夫って感じだから、駄目！

緊急事態は全国的にやらないと何の意味もないから

自粛、お願いだけだから
どこへでも行くんだから

一斉に緊急事態やるべき"
73,8-3,マカロニサラダ,"ただの飲食店の時短要請だけだしね。
なにが緊急事態宣言なのか。
緊急のレベルが下がり過ぎて意味がない。"
74,8-4,feu*****,"ちょっとずつ小出し感満載の後手後手内閣ですね。

とても先手先手の対策をうってるとは思えない。
短期間で集中してやらないから経済へのダメージは大きくなる。"
75,8-5,あいうえお,早く全国的にやらないとダメです。もう、遅すぎるのですが。
76,8-6,rab*****,宣言出していいか二階に聞いたのかよ。
77,8-7,kok*****,"飲み屋潰し
ビルオーナー潰し
売国"
78,8-8,tln*****,広島もお願いしたいです。
79,8-9,ssw*****,判断遅すぎやろ
80,8-10,emw*****,まあ出た所で変わらない
81,9-1,ak0*****,"次は愛知と岐阜か。
追加追加ってのが、結局小出しに見えてくるから支持されないんだよね。"
82,9-2,ぴかいち,"小出ししやがって
全国にせぇよ！
なんなんだこの総理大臣は
本当使えないなぁ"
83,9-3,hkl*****,結局俺最強
84,9-4,mas*****,"いま、緊急事態宣言守っておけよ。
2月からのワクチン信じてるから。
意味のわからない人は、守らず感染するのでしょう。"
85,9-5,wat*****,"どうせなら全国でやって欲しい。
商売あがったりです。"
86,9-6,yea*****,どんなことに対しても曖昧な態度で行うのはほんまに腹立つ。
87,9-7,sak*****,緊急事態宣言なんてやらなくてもいいのに。
88,9-8,huk*****,結果、宣言出すのに、なんで、一旦考えるとか慎重にとか言ってるんだ？
89,9-9,yos*****,Mr.小出し（笑）
90,9-10,nsj*****,今は、小出しにしないで全国で緊急事態宣言をした方がいいかと思うんだが…
91,10-1,nsj*****,今は、小出しにしないで全国で緊急事態宣言をした方がいいかと思うんだが…
92,10-2,sai*****,国内で緊急事態出してビジネス目的の外人は入国させてるよね。しかも驚く事にPCR検査免除って。緊急事態の意味ないと思うけど。
93,10-3,***********,後手後手と批判されるけど、勝手に決めたら決めたで地方自治ガーとか言うんだから、リクエストベースで良いと思う。
94,10-4,ipp*****,"なぜ日本全域にださない？
経済は止まってる。しっかりした緊急事態宣言して収束に向けた動きを出す方がいくらか効率的ではないだろうか？"
95,10-5,zxs*****,罰則厳しくして欲しい
96,10-6,miy*****,"こうやって時間差でチョコチョコ小出しにしていたら、結果的に長引くだけだと思います。

全国一斉にする覚悟が持てないのでしょうね。

いい加減、腹を括って欲しいですね。"
97,10-7,アナスタシア,"暫くは拡大続くだろうね。
九州はどうするのか？
愛知はどうするのか？
北海道も再拡大している。
全国一律のほうが分かりやすいけどな。"
98,10-8,oja*****,結局全国にせんけよ
99,10-9,kao*****,"九州も　緊急宣言出さないと　大変なことになります。
病床が　足りなくなります。"
100,10-10,ys8*****,地方の飲食店にも6万けな？
101,11-1,kao*****,"九州も　緊急宣言出さないと　大変なことになります。
病床が　足りなくなります。"
102,11-2,hid*****,経済も考えると、余計な宣言。
103,11-3,s60*****,"地方に国が打診するのではなく、地方が国に打診して国が発令する。
政府は国をもっと俯瞰してみるべきじゃあないのかな？"
104,11-4,PATRIOT,"菅内閣は、全てが後手後手で対応が遅い！

内閣支持率が下がる一方…"
105,11-5,ari*****,後手後手政権 自らの主張は出来ないのか！？まるで親から勉強しなさいと言われる子供みたい・・・・
106,11-6,kur*****,なにごとも、遅すぎるねえ、カメさん
107,11-7,tsd*****,ねぇ、栃木は？
108,11-8,sas*****,とにかく早く発令を
109,11-9,luc*****,二階のOKが出たか。
110,11-10,hir*****,"取り敢えず政治家給料下げよか　菅辞任しよか
話はそれから"
111,12-1,kag*****,関西もですが、とりあえず全国一斉に出して、生活に必要ない店を閉めさせて、人出を止めて、減らしてください。
112,12-2,jkd*****,特に拘束力や罰則もなくダラダラするなら一回で決めて欲しい。経済を考慮するなら尚更そうして欲しい。その度に飲食店が犠牲になるのら、あまりに可哀想だ。
113,12-3,fud*****,"でも中国と韓国は入国させ放題。 中国ではもっと恐ろしいハンタウイルスが発生して広がってますよね。
コロナの数も半端じゃなく発表とは違うと聞いてますよ。そして入国した人達は日本人と違って、マスクも適当でかなりうろうろしてますよね。

菅政権は解散でしょう。"
114,12-4,s91*****,表明だけでなく、間髪入れずすぐにでも発出して欲しいです！
115,12-5,pla*****,しかし「最後の手段」の後はどうするんだろう？
116,12-6,mtu*****,"出す事自体は有難いかもしれませんが、何だか、知事に言われたから出します、みたいなスタンスですね。

安倍政権もそうでしたが、自分でどしっと構えられるリーダーシップみたいなものを感じられません。"
117,12-7,Matsu_Take,"彼は、専門家が何を分析するのを待ってたんですかね。この数日で良くなることなんてなかったと思いますし、出すなら早くしたほうが良いのに。

先を読んで、英断するとか、この方に期待してもしょうがないんでしょうね。"
118,12-8,yuj*****,支持率が下がれば自動的に動く。見識もポリシーも常識も熱量も何もない国のリーダー、あな恐ろしや。
119,12-9,ケセラセラ星人,もうきれいごとばかり言う政治家はこりごりだ！早く解散選挙して！ま、適任者の総理はいないと思われますが…
120,12-10,may*****,"やっと…って言うか、なんて言うか…
ほんまに後手後手の政権やね…
まだ安倍ちゃんの方が決断早かったよ…
ガースーは間違いやんったんちゃう？
アメリカみたいに総理大臣も民意で選ばせて欲しいわ…"
121,13-1,表示名は米印,二階がOKしたんだね。
122,13-2,men*****,全国的にやっちゃえば？
123,13-3,jax*****,検討に2日もかけている事自体、すでに「緊急」じゃありません。
124,13-4,pei*****,全国的に一度緊急事態宣言を出すくらいのレベルでは？
125,13-5,rr,"二階政権お聞きになって決めたんです。

私は何も決められないガースです。
国民の皆さん二階総理に全てお任せしてるのでGOTOキャンペーン1兆円また出します。

給付金は二階先生が駄目だって言われるので出しません。国民の皆さんお元気で！"
126,13-6,yur*****,"地方公共団体から言われて緊急事態宣言出すって…
全然リーダーシップ発揮できてないやん"
127,13-7,Melon,全国一斉しないとまた取り返しのつかないことになりそう(素人考え)
128,13-8,the*****,"外国のロックダウン（緊急事態宣言）が何回も行われているが

「何回も繰り返してるロックダウン」は効果がないですと
いってるようなものなんだが
たぶん日本もたいしたことはないでしょう。"
129,13-9,hid*****,警戒宣言を出すのなら、早く出した方が効果がありますよ。遅くの対応で成功したケースはありません
130,13-10,kurukuru,入国制限の方は言及なし?
131,14-1,kon*****,良かったと思います。ナイスタイミングです！
132,14-2,zwb*****,"取り敢えず出来て参謀、トップリーダーの器ではない事は良く分かった。
事務方の責任もあるとは思うが。"
133,14-3,パンちゃん,今の時点で飲食店（一部のデパート含む）が中心な事から国民の100000円給付無いと思う
134,14-4,com*****,遅いわ。こっちは先手先手で言ってるのに、何が専門家の意見を聞いて１週間ほど様子をみよう…なんだか。結局出すんやんか…
135,14-5,非表示,"様子見てからにする→自分の支持率下がる→宣言致します、愛知県もします！

自分の成績しか考えてない、
人が死んでも、医療逼迫してもあなたには関係ないもね。必死にご自分でここまで、、這い上がってきた方だからこそ、期待していたのに、結果、二階の言いなりですか？"
136,14-6,mas*****,"表面はいいから早く発出してください
ホントなら連休中に出してほしかった"
137,14-7,fkx*****,関東の様子見てると、出したからって何が変わるの？って気する
138,14-8,やっほー,"つい先日しばらく様子見しつつなんて言っていたのに、支持率低下したら即対応か、、、
酷すぎるね。"
139,14-9,rat*****,"菅
思い切った政策は？
ダラダラ政策　チンタラ対策
無能首相だから　仕方ないか
二階さんに操られてるお飾り首相だからね"
140,14-10,osa*****,"この総理大臣はどこを見ているのか
しっかり国民を見ろ　二階を見上げても
意味は無いし時間の無駄"
141,15-1,yas*****,観光業を何とかしてくれ。
142,15-2,bum*****,一週間程度様子を見ると発言してなかったっけ。殆どの人が、ようわからんって思っているはず。
143,15-3,ivs*****,そんなんやっても無駄。
144,15-4,son*****,"安倍、菅、麻生、二階……
この世の最も汚い言葉で罵倒したい。"
145,15-5,bb1*****,"全国一斉でなく、自治体毎と言いながら、開始時期が違うのに、お尻が一緒の意味が分からない。
まあ、元々1ヶ月自体なんの根拠も無いけど。"
146,15-6,コンタキンテ,"飲食店でない飲食店の卸など大打撃を受けているお店さんも救えるように仕事してください
飲食店に時短営業を強制したら、そこに関連する会社も売上が減ってそこから倒産の連鎖が始まりますよ"
147,15-7,yos*****,"表明したのは良いのですが、また諮問委を開催して専門家の判断を仰ぐのでしょうか。
そうこうしているうちに感染拡大がますます進行してしまい迂遠なことだと思います。

時すでに遅し。"
148,15-8,tid*****,連休前に出せよ遅い️遅すぎ️
149,15-9,hid*****,この人は、周りに言われてからじゃないと判断できないのか？
150,15-10,ベルガー,"なんかゆるいですね！
対策もゆるいし、
お顔立ちもゆるいし、
性格までゆるそう！"
151,16-1,muj*****,全国一律は補償の問題からないのかな
152,16-2,うしちゃん,"まずきつく締めて、徐々に緩めていく。

そのほうが傷の回復は早いと思うんだが・・・
間違ってるのかな、この考え方。"
153,16-3,tmk*****,"飲食店など大打撃のお店はどうやって耐えればいいのでしょうか？？
旅館など経営が苦しいところは中国企業など外資系に買われそうで不安ですね‥‥"
154,16-4,its*****,"緊急事態宣言が出るのは良いのですが
会社が不景気になり過ぎて怖いです！"
155,16-5,tac*****,"だから遅いよなぁ。
福岡、熊本、宮崎もやばいし、
広島、岡山もやばい。
とにかく行動が遅いガースー政権"
156,16-6,sor*****,もはや時短営業要請宣言程度、、、
157,16-7,kit*****,"また飲食店を対象に規制？お願い？をするだけでしょ！
それだけでは今の状況が良くなるとは思いません。
公共交通機関をある程度止めることが必要だと思いますが…"
158,16-8,r_7*****,菅は駄目だ
159,16-9,msk*****,"小さい店はボーナス！
大きい店は大赤字。
家賃に比例しての保障したらなあかんやろ？
しかも保障は一時所得として確定申告時に税金ひかれるらしい。"
160,16-10,o42*****,催促しないと出せないのかな〜困ったものです
161,17-1,can*****,もう全国一斉に出せばいいのに…
162,17-2,kya*****,"トランプ大統領は大統領令を発令しました。
これと関連している可能性があります。"
163,17-3,san*****,"やるなら全国でやったら？

国民一体にならないと、感染拡大は抑え込めない。"
164,17-4,rei*****,"国内の約8400の病院のうち、新型コロナ患者受入可能医療機関は1700機関、また、ICU等を有する医療機関は1007機関あるが、実際に新型コロナ患者で人工呼吸器、 ECMO又はその両方を使用した患者を受け入れている医療機関はたった307機関

医療システムがおかしいのに緊急事態宣言で経済壊して自殺者増やしてどうする。よく考えろ"
165,17-5,mat*****,政府のほうが深刻な緊急事態だな
166,17-6,mak*****,要請されての緊急事態宣言でしょ。早く言えば決断力が無い菅義偉。安倍前総理時の感染者数と今の感染者数を比べてみろ！
167,17-7,gsy*****,"国の動きが遅すぎるねぇ。
緊急事態の時には、もっと迅速に
動いて欲しいよ。"
168,17-8,khr*****,早く全国にしてくれ！
169,17-9,dew*****,"やっと支持率低下したからと、関西に緊急事態宣言が出た！
東海九州も、感染者増えてます。
いい加減、素早く対応出来ないかなぁ️"
170,17-10,nic*****,科学的データに基づかない緊急事態宣言をなぜやるのか？GO TOトラベルをやめてから、感染が増えており、感染源のトップが家庭内であるのに、飲食を狙い打ち。見せしめの八つ当たりでしかない。
171,18-1,ikg*****,"小出しで出す意味ない。
また一斉にして、給付金出せばいい話。
自分達は会食して、、
本当20時以降に仕事している者には、
一切補償なし。
本当殺す気ですか？"
172,18-2,y33*****,"小出しにしないで全国に緊急事態宣言を出した方が良いと思う。
政府が危機感を感じ無いから国民も危機感を感じて無いんだろ。"
173,18-3,don*****,"イライラするなぁ～
遅いんだよ"
174,18-4,*********,全国一律に発令してよ
175,18-5,TK,後手後手つまり泥縄
176,18-6,ger*****,もっかい一人10万円支給すれば大人しく自粛してるんじゃないかな
177,18-7,kob*****,こないだ出しとけよな。
178,18-8,nvn*****,1回目の様に緊急事態宣言して給付金を出さないと、何もかも終わるよ〜ん笑笑
179,18-9,wxn*****,愛知県と岐阜県も追加するのでしょうから、この際合わせて出した方がベターなのでは️
180,18-10,伊藤俊輔,"なんか、本当グダグダになってきたなあ。
菅さん、期待してたのに残念。
まあ、それでも日本のコロナ被害は、
欧米に比較したら少ないのは、
なんの要因かはまだ不明だけど幸運だな。"
181,19-1,ilr*****,経済凍結だけは避けなければ成らないが、主要都市が規制をかけたら地方も経済が止まったのだから対処だけはしっかりしないとバスもタクシーも走れなくなる。
182,19-2,sir*****,小出しせず全国一律出してほしいです️
183,19-3,hjc*****,全国に出した方がいいと思いますけど、、、
184,19-4,noj*****,"効果のない緊急事態宣言は必要ない。
飲食店・小売店をいじめるような政策は要らない。

ちゃんと考えろ。"
185,19-5,usu*****,"支持率下落したから
慌てて追加発令した感がする。"
186,19-6,t33*****,本当の仕事しろ
187,19-7,pbh*****,"もう全国にするべきそしてお金をばら撒けばよいし
補助金等々前の倍額をばら撒けばよい"
188,19-8,yun*****,"子供が都内高校通学です。
新学期始まって既に発熱、濃厚接触者十数人。今朝、新たに陽性者が確認されて、1時間で下校。
高校も休校ではなく、オンライン推奨お願いします！
受験控えた子達は、自主休校も考えてるみたいです。"
189,19-9,mini,一回、否定しておきながら、数日経てばすぐ認める。こんなやり方は、国民に対して絶対によくないし、国民に対して失礼というか、無礼だと思います。これからは、引っ張らずに、内心、そうしないとダメだと分かっていたのなら、すぐに認めてください。やり方が、決定のやり方が腹立たしい。
190,19-10,bee*****,意味あるのかね？
191,20-1,y_y*****,"検討だの方針だの。遅い！早よして。
手続きかなんか知らんけど、ちんたらやってる感が否めないな。
“緊急”事態なんでしょ？"
192,20-2,mya*****,全国一斉プラス給付金で唯一菅総理の功績。以上
193,20-3,ma_*****,全国でやるべきでしょ
194,20-4,shu*****,"一時期　全国だろ
頭大丈夫か(笑)"
195,20-5,lge*****,全国一斉にやり、１人１人に保障して下さい。その方がいち早く経済も回せるのでは？このままでは崩壊します。
196,20-6,u*****,"なんで一気にやんなかったの？三連休放置したの？
馬鹿みてぇな仕事の仕方だな（苦笑）"
197,20-7,mog*****,緊急事態宣言が具体的に後どうすればよいのかが漠然としてます。大型商業施設、テーマパークなどは臨時休館したら国が生活保障してくれるのか？定額給付金は？ということになります。
198,20-8,rlv*****,"行き当たりばったりの対策だよね。
本当にこのままだとあっという間に蔓延してしまいそうですね。政府は本当に無策だね。"
199,20-9,mar*****,終息願います。早く。。。
200,20-10,hig*****,緊急事態宣言はコロナ感染率が減りますから善いことですが、特に自営業、零細企業に対する給付金を早急に対応してほしいものです。一時的に緊急措置法で、造幣局にて、紙幣の大量印刷をして、国民の生活を守って頂きたいものです。
201,21-1,nor*****,"一体何が変わるんだろうか？

みんな20時には帰宅しましょうキャンペーンだと思ってるよ…。

自分も仕事柄リモートは不可能だから…前回の緊急事態宣言に引き続き、まったく実感が無い…。"
202,21-2,このみん,はぁ~遅っ。3連休の前にしかも成人式の前にした方が良かった。非常事態でもこんなに決定に時間がかかる。南海トラフの際、こんなダメダメ政権が居座っていたらと考えると恐怖でしかない。
203,21-3,free,だから、出てからじゃ遅いんだって！
204,21-4,yo_*****,現状を考えたら全国に出さなきゃだめでしょ！
205,21-5,dxj*****,宣言さえ出しておいたら良いと思って…
206,21-6,ttm*****,"緊急事態宣言出しても
後手後手小出し戦略しかないから
大きな成果は得られないだろう。"
207,21-7,にんじん,"日曜に「様子見」って発言したのは一体何だったのか。
常に後手後手。"
208,21-8,bqw*****,判断するんが　遅すぎる！
209,21-9,qby*****,いちいち協議しないとダメなのかな。その間に感染拡大するよ。対応が遅すぎる。バラバラ緊急事態宣言を出さずに、全国一斉に出すべきだ。一気に鎮圧しないと、飲食店はもたないよ。
210,21-10,gin*****,"表明してもなぁ…
東京都民同様、危機感は薄らいでるからどこまで効果がある事やら。
食べ飲み系YouTuberなんて、気にせず飲み歩いて動画撮ってるからね。"
211,22-1,gin*****,"表明してもなぁ…
東京都民同様、危機感は薄らいでるからどこまで効果がある事やら。
食べ飲み系YouTuberなんて、気にせず飲み歩いて動画撮ってるからね。"
212,22-2,tam*****,"チマチマしすぎやで菅総理
手遅れや〜"
213,22-3,fjh*****,"抑え込めるのかな？
抑え込めても、また二階がGoto再開させて
同じ事になるのでは？

春まで緊急事態にしといた方がいい"
214,22-4,ipa*****,"緊急性があるのに、三連休は休みたいから知事達からの要請に「慎重に検討する」といって何もしなかったスガ。

先週末に変異種の国内持ち込みが明らかになってもまだ無隔離入国を禁止しないスガ。

さっさと辞職してくれ。
一時の政治的空白よりもお前が総理で居続ける方が日本にとってマイナスだ。"
215,22-5,ペン,"学校も秋入学にしたらよかった。
夏なんか今どこでもエアコンついてんだから夏は学校に行かせれば良い。
問題があっても解決する時間がある。
オリンピックみたいなどうでもいいののために延期で馬鹿みたいに金をたら流すなら学校のために使えば良いのに。"
216,22-6,yah*****,小出しジジイ。
217,22-7,kis*****,逸脱行動の上で罹患した者は自由診療だな。
218,22-8,mgy*****,そんな小出ししてないで日本全国一斉にした方がいいんじゃないの？
219,22-9,n*****,早く10万出せよ。1月分な。
220,22-10,yos*****,"関西の次は中部、そしてその次は？？？
ある程度感染者が増えてる地域は減る事は考え難いから、一斉に緊急事態宣言出した方が良くないですか？
全ての地域でなくとも、一定数増えるまで待つのは今の対策では愚策に思えるのですが。"
221,23-1,rby*****,三重県も入れようよ。
222,23-2,anytime,"何故に最新からじゃあないのと思ってしまう
見通しが甘い感ってこと、、、"
223,23-3,satottaotoko,で、何が変わるの？
224,23-4,mm*****,"知事が決断したら、その日の午後には発令できるくらいの勢いで対応しなければ、到底ウイルスの感染爆発に対応できないです。
大阪も日本ですよね。状況は十分に把握して然るべきです。すぐに対応ができない理由はあってはいけない話です。
二階さんのご意向でも伺っていたりしてるのでしょうか？"
225,23-5,not*****,各都道府県の知事が政府にお願いをしないと緊急事態宣言がでない。そのお願いを政府は受け、政府は緊急事態宣言を出す。そんなのなら、最初から緊急事態宣言を関西にも出せばいいのに、と思いました。
226,23-6,....,"商売してる人からすりゃあなんで飲食店だけ補償？となる
そこまで行くのにも遅いし何もかも遅い。支持率上げるには均等に給付金だろうそれしかない"
227,23-7,pod*****,"一回全国に出し、終息させなきゃ
無理だよ菅さん。
国民に現金給付して協力してもらわなきゃ
全て貴方の責任だから。"
228,23-8,yoshida,少しでも期間を短縮して、協力金を減らしたいのでしょう
229,23-9,bbs*****,"兵庫は、西宮より姫路の方が感染者数も死者数も多いのに時短要請しない…
メディアもちゃんと取り上げて欲しい！"
230,23-10,rbh*****,"だからいつからかを早く言えよ。
色々とみんな、準備があるねん。"
231,24-1,epa*****,"全県追加、1か月一人当たり15万配るので
お家にいて下さい、と、言えば

今より効果あるはずだけど"
232,24-2,mai*****,"相変わらず後手後手、世間が批判すると慌てて対応する。
たまには、先手で対応をして欲しい。"
233,24-3,rbh*****,"だからいつからかを早く言えよ。
色々とみんな、準備があるねん。"
234,24-4,rik*****,"街の国民の目を見て下さい️
死んでるよ。"
235,24-5,通りすがりの者ですが,"緊急事態宣言をするのはいいけど、ちゃんと平等、公平な納得できる制度にすべき。

今は強制力のない要請に過ぎないから、要請に応じる店舗は応じるし応じない店舗は応じない。
そして応じない店舗では、あぶれた客が集まって満席になる現象が起きている。
真面目に従う店舗がバカを見て、従わない店舗がその分の利益をかっさらい得をするという不平等、不公平な状況。

政府は呼びがけに応じる真面目な国民から殺していくのか？
早急な法改正が必要なのに、総理は逃げ回り、自己保身のために国会を開かない。

『国民のために働く内閣』では無かったのか？？"
236,24-6,oet*****,"一気にやれよ一気に
相変わらずバカだな"
237,24-7,qrw*****,"ふつうに出勤しとります…
要請程度では無理やわ"
238,24-8,bie*****,"手続き上、申請を元に発令する手順なんだろうが
言われたからやった感が否めない。
菅政権がイニシアチブを取って主導しないと政府の信用問題になるぞ。"
239,24-9,#,"全国一斉に出せよ。
小出しするから、感染対策に対する国民の意識が高まらないんだ。"
240,24-10,pek*****,全くその通りです。
241,25-1,mik*****,追加なんて言わないで直ちにだすと良いのに
242,25-2,mik*****,"先手先手ですばらしい施策です。

思い切って全国一斉緊急事態宣言お願いします。"
243,25-3,k*****,"要請と補償はセットであるべきで
何でもやれやれではもう誰もついていかないし、
飲食店の1日六万ってのも
不公平感たっぷりで疑問に感じています。
コロナで打撃を受けているのは飲食ばかりでは
ないのに。
もう感染経路不明が7割近くて飲食ターゲットにするのもね。"
244,25-4,nab*****,色々裏事情を知ったら宣言推薦してる一般市民はどう思いますかね、2類を5類に落とすだけでどれだけの人が助かるか、コロナ以外の人もね、かなりのコロナ利権と責任を取りたく無い人のダンマリがマスコミの煽り報道で一般市民をふるいにかけてますね、コロナより恐ろしい事が裏で動いてそうです！
245,25-5,tck*****,"関西ニ府一県から要請があってから今日までの空白期間は何だったのですか？

その間に対象の地域では、天気の良い三連休があり昼夜場所を問わず密な場所が多発していたようです。

これが菅総理のおっしゃる先手先手という事なのですか？"
246,25-6,gmt*****,これ以上緊急事態宣言を出すな！コロナウイルスはインフルエンザよりも感染力が弱いってことぐらいデータでわかってる話だろ！これ以上緊急事態宣言出すとコロナで感染して亡くなる方よりも経済的な面で亡くなる方（自殺者）が増えるというかもう増えている　いい加減政府も日本国民も冷静になって考えろ
247,25-7,atu*****,"日本はもう終わってるよ
未知のウイルスの蔓延中にGotoとか頭おかしいとしか思えないし何故全国に緊急宣言とか出さないのかも不思議だ"
